"id","sample","QUESTNNR","day0","date","STARTED","PN05_01","PN05_02","PN05_03","PN05_04","PN05_05","PN05_06","PN05_07","PN05_08","PN05_09","PN06_01","PN06_02","PN06_03","PN06_04","PN06_05","PN06_06","PN06_07","PN06_08","PN06_09","AF02_01","AF02_02","AF02_03","AF02_04","AF02_05","AF02_06","AF02_07","AF02_08","AF02_09","AF02_10","ST53","ST53_01","ST53_02","ST53_03","ST53_04","DS06_01","DS06_02","ST54_01","ST54_04","ST54_02","ST54_05","ST54_03","ST54_06","ST54_07","ST54_08","ST54_09","ST54_10","ST54_11","PA21_01","PA21_02","PA22_01","PA22_02","PA23_01","PA23_03","PA23_02","PA23_05","PA23_04","PA23_07","PA23_06","PA23_08","PA24_01","PA24_03","PA24_02","PA24_05","PA24_04","PA24_07","PA24_06","PA24_08","LASTDATA","FINISHED","LASTPAGE","MAXPAGE","toolate","noncompliance_eod","case"
"shWtGo33e4","original","d8b6",7,2021-06-21,2021-06-21 23:44:06,7,1,1,7,5,7,7,7,7,1,1,1,1,5,1,1,1,6,7,1,1,6,1,6,1,4,1,5,1,FALSE,TRUE,FALSE,FALSE,4,0,4,1,5,1,4,3,4,3,4,4,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-06-21 23:46:21,TRUE,9,9,0,1,"18789"
"M6iUhx96Iv","original","d1b6",0,2021-05-24,2021-05-24 21:04:11,3,3,4,5,4,5,4,5,4,5,3,4,5,5,1,1,3,5,3,2,5,5,6,4,4,3,3,4,1,FALSE,FALSE,FALSE,TRUE,0,0,2,3,3,4,3,5,7,3,2,3,7,1,0,0,0,6,6,2,3,3,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-24 21:08:58,TRUE,9,9,0,0,"13224"
"M6iUhx96Iv","original","d2b6",1,2021-05-25,2021-05-25 21:16:28,6,2,2,7,5,7,7,5,6,2,2,2,2,4,1,1,1,6,5,3,4,4,3,5,5,4,1,4,1,FALSE,FALSE,FALSE,TRUE,0,0,1,5,1,5,2,5,7,2,1,2,7,1,0,1,30,6,6,5,2,3,1,1,2,7,7,3,1,4,2,1,1,2021-05-25 21:20:10,TRUE,9,9,0,0,"13428"
"M6iUhx96Iv","original","d3b6",2,2021-05-26,2021-05-26 21:01:50,6,1,2,6,7,7,6,6,6,6,3,3,3,5,1,1,1,6,5,5,5,4,7,5,6,4,1,6,1,FALSE,FALSE,FALSE,TRUE,0,0,1,1,1,1,1,3,7,2,1,1,7,0,30,2,0,6,6,7,1,3,1,1,1,7,7,5,1,4,1,1,1,2021-05-26 21:07:21,TRUE,9,9,0,0,"13631"
"M6iUhx96Iv","original","d5b6",4,2021-05-28,2021-05-28 23:31:35,3,2,1,5,7,7,6,6,6,5,3,1,1,6,1,1,1,6,5,1,1,4,7,5,3,5,1,5,1,FALSE,FALSE,FALSE,TRUE,0,0,1,3,1,4,1,2,7,1,1,1,7,0,30,2,0,7,7,5,1,4,1,1,1,7,7,3,1,4,1,1,1,2021-05-28 23:35:10,TRUE,9,9,0,0,"14146"
"M6iUhx96Iv","original","d6b6",5,2021-05-29,2021-05-29 23:38:39,3,5,1,5,5,6,3,5,3,5,1,7,5,6,1,1,1,5,3,1,5,5,6,3,3,3,5,5,1,FALSE,FALSE,FALSE,TRUE,0,0,1,5,1,3,1,3,6,2,1,1,7,1,0,1,0,5,5,3,1,5,1,1,1,5,5,5,1,4,1,1,1,2021-05-29 23:43:18,TRUE,9,9,0,0,"14362"
"TTlGjDnYES","original","d1b6",0,2021-04-12,2021-04-12 21:00:16,3,1,1,7,7,4,4,3,4,1,1,1,1,5,1,1,1,7,5,1,4,5,3,6,1,5,1,4,1,FALSE,TRUE,FALSE,FALSE,5,2,6,3,6,1,7,1,1,6,6,5,1,2,0,0,0,5,7,5,1,5,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2021-04-12 21:03:46,TRUE,9,9,0,0,"2949"
"TTlGjDnYES","original","d2b6",1,2021-04-13,2021-04-13 21:00:08,1,1,1,6,6,4,6,6,6,3,2,2,2,6,1,1,1,6,5,1,1,5,6,6,1,5,3,5,1,FALSE,TRUE,FALSE,FALSE,8,44,6,1,6,1,6,2,1,6,5,5,1,1,0,0,0,7,7,6,1,5,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2021-04-13 21:02:53,TRUE,9,9,0,0,"3211"
"TTlGjDnYES","original","d3b6",2,2021-04-14,2021-04-14 21:00:09,5,1,1,3,5,5,5,5,5,4,1,1,1,5,1,1,1,6,5,1,1,5,6,6,1,4,1,5,1,FALSE,TRUE,FALSE,FALSE,5,0,6,1,6,1,6,1,7,1,5,6,1,6,0,0,0,5,6,5,1,6,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,2021-04-14 21:28:09,TRUE,9,9,0,0,"3447"
"TTlGjDnYES","original","d4b6",3,2021-04-15,2021-04-15 21:00:20,7,1,3,7,7,4,6,5,5,1,1,1,1,4,1,1,1,5,6,1,2,5,7,5,1,3,1,4,1,FALSE,TRUE,FALSE,FALSE,7,53,6,1,5,1,6,1,1,5,5,6,1,2,0,0,0,7,5,4,1,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1,2021-04-15 21:03:37,TRUE,9,9,0,0,"3686"
