ID,DIARYDAY,M_Anx.,M_Sad.,M_Vig.,M_Con.,W_Anx.,W_Sad.,W_Vig.,W_Con.
201,0,0,0.333333333,2.666666667,2.666666667,1.333333333,0.333333333,1,2
201,1,0,0,2.333333333,3,1,0,2,2.666666667
201,2,0,1,2.333333333,2.666666667,0.333333333,0,2,2.666666667
201,3,0,0,2,2.666666667,0.333333333,0,1,2.666666667
201,4,0.666666667,0.333333333,2,1.666666667,0.666666667,0,2,2.333333333
201,5,0,0.333333333,2.333333333,2,0.666666667,0,2,2.666666667
201,6,0.666666667,0,0.666666667,2,0.666666667,0,2.333333333,2.666666667
201,7,0.333333333,0,1.666666667,2.333333333,0.666666667,0,1.333333333,3
201,8,0,0,2,3,0.666666667,0.333333333,2,2.333333333
201,9,0,0,2.666666667,3,1,0,1.333333333,2
201,10,0,0,1.333333333,4,0.333333333,0,2,3
201,11,0,0,2.666666667,3.666666667,0.666666667,0.333333333,2,2.666666667
201,12,0,0,3,4,1,1.333333333,0.666666667,1.333333333
201,13,0,0,1.666666667,3.333333333,0.333333333,0.666666667,1,2
201,14,0,0,2,3,1,0.333333333,0.666666667,1.333333333
201,15,0,0,2.333333333,3.333333333,0.333333333,0.333333333,1,2
201,16,0,0,1,2.666666667,0.333333333,0.333333333,1,2.666666667
201,17,2,1.666666667,0.333333333,1.333333333,1,0.666666667,0.333333333,1.666666667
201,18,1,0.666666667,2.666666667,3,1,0.333333333,2,2.333333333
201,19,0,0,2.666666667,4,1,0.333333333,1.666666667,2.666666667
201,20,0,0,2.666666667,4,0.666666667,0.333333333,1.666666667,3
201,21,0,0,2.333333333,3.666666667,1.333333333,0.666666667,0.666666667,2
201,22,0,0,2.333333333,4,0.333333333,0,1.666666667,3
201,23,0,0,2,3,1.666666667,0.333333333,1,2
201,24,0,0,2.666666667,4,0.666666667,0,2,2.666666667
201,25,0,0,2,3.333333333,0.666666667,0,2,3
201,26,0,0,2,3.666666667,0.666666667,0.333333333,2,2.666666667
201,27,0.333333333,0,0,2,0.666666667,0,1,1.666666667
201,28,0,0,0.333333333,0.666666667,0.333333333,0.666666667,1.333333333,1.333333333
201,29,0,0,1.666666667,2.666666667,0.666666667,0,1.666666667,2.666666667
201,30,0,0,2,3,1,0,1.333333333,3
201,31,0.333333333,0,0.666666667,2.666666667,1.666666667,0,2,2
201,32,0,0,3.666666667,4,1.333333333,0,2.666666667,2.666666667
201,33,0,0,2.333333333,3,0.333333333,0.333333333,1.333333333,3
201,34,0,0,1.666666667,3.333333333,1.333333333,0.333333333,1,2
202,0,0.333333333,0,1,2,0,0,1.666666667,3.333333333
202,1,0,0,2,2.333333333,1.333333333,0,3.333333333,2.333333333
202,2,0.333333333,0,1,2,0.333333333,1.333333333,1,1.666666667
202,3,0,0,1.666666667,2.666666667,0,0,2,2.333333333
202,4,1.666666667,0.333333333,2.333333333,2,2,0.666666667,1,2
202,5,2.666666667,2,0,1.333333333,1.666666667,1.333333333,0,0.666666667
202,6,0.666666667,0,0,2,1.333333333,1.666666667,0.666666667,1
202,7,0.666666667,0,1,2.666666667,0,0,1.333333333,2
202,8,1.333333333,0,1.666666667,1.666666667,0.666666667,0.666666667,1,1.666666667
202,9,0.666666667,0,1,2.666666667,0.333333333,1.333333333,0,0.666666667
202,10,1,0,1.666666667,2.666666667,1,0.666666667,1,2.333333333
202,11,0,0,1.333333333,3,0.333333333,0.333333333,2,3
202,12,1,0,1.333333333,2.333333333,1,0,1.666666667,2
202,13,0.666666667,0,0.333333333,2,0.666666667,0,1,2
202,14,0.666666667,0,0,2.666666667,0.666666667,0,1.333333333,3
202,15,0.333333333,0,0,1.666666667,0.666666667,0,0.333333333,3.333333333
202,16,0,1,0,3,2,0.666666667,0,0.666666667
202,17,0,0,0,3,1,0.333333333,0.666666667,2
202,18,0,1,1,2.666666667,1,0,1.333333333,2
202,19,0,0,0.333333333,3,0.666666667,0,0.333333333,2.666666667
202,20,0,0,0.333333333,3,0.333333333,0,0,2.333333333
202,21,0.333333333,0,0.333333333,3,0.333333333,0,0,2.666666667
202,22,0,0,0.666666667,3,1.666666667,0.333333333,0.333333333,2
202,23,1,0,0,2,0,0,0,3
202,24,0,1,0,2.666666667,0,0,0,1.333333333
202,25,0.333333333,0,0,2.666666667,0,0,0,2
202,26,0,0,0,2.666666667,0.333333333,0,0,2
202,27,0.333333333,0,0,2,0,2,0,0.333333333
202,28,0.333333333,0,0.333333333,2.666666667,2.333333333,1.666666667,0,1
202,29,0.333333333,0,0,2.666666667,0,0,2.333333333,3
202,30,0.666666667,0,0,3,0,0,0.666666667,2.333333333
202,31,0,0,0,2,0,0,1.666666667,2.333333333
202,32,0,0,1,3,0,0,0,3
202,33,0,0,0,2.666666667,0,0,1,3
202,34,0,0,0,2.666666667,0,0,0.333333333,2.666666667
203,0,0.666666667,0,1.333333333,3.333333333,0.333333333,0.333333333,0.333333333,3
203,1,0,0,3,3.666666667,0.666666667,0.333333333,1.333333333,3
203,2,0.333333333,0,3.333333333,4,0,0.333333333,1.333333333,3.333333333
203,3,0.333333333,0,1.666666667,2,0.333333333,1,2,4
203,4,0,0,3,3.333333333,0.333333333,0,2,4
203,5,0,0,2.666666667,3.333333333,0.333333333,0,1.333333333,3.666666667
203,6,0,0,2,3,0,0,2,4
203,7,0,0.333333333,2,3.333333333,0.333333333,0,2,4
203,8,0,0,2.333333333,3,0.333333333,0.666666667,2,4
203,9,0,0,3,4,1,0.666666667,2.666666667,3.333333333
203,10,1.333333333,1,1.333333333,2.333333333,0.333333333,0,2.333333333,4
203,11,0,0,3,4,0.333333333,0,2,4
203,12,0.333333333,0,2.333333333,3,1.666666667,1.333333333,1,1.666666667
203,13,0.333333333,0,2,3.333333333,0.666666667,0.666666667,2,3
203,15,1.333333333,1,2.333333333,3,1,1.333333333,2,2.666666667
203,16,1,0,1.333333333,4,0.666666667,0,2,3.666666667
203,17,1,1,2,2.333333333,0.666666667,0,2,3.666666667
203,18,1,1,3,3,1,0,2,3.666666667
203,19,2.333333333,2,2.333333333,2,0.333333333,0,2,4
203,20,2.666666667,2,2.333333333,2,0.333333333,0,2,4
203,21,2,1.333333333,2,2.333333333,0,0,1.666666667,4
203,22,1.666666667,1.666666667,2.666666667,1.666666667,0.333333333,0,1.333333333,4
203,23,2,2,2,2.666666667,2.333333333,1.666666667,2,2.333333333
203,24,1.666666667,1.666666667,1.666666667,2.333333333,1.666666667,1.666666667,1.666666667,2.333333333
203,25,1.333333333,1.666666667,1.333333333,2,0.333333333,0,1.666666667,4
203,26,0.666666667,0,1.333333333,4,0,0,1.333333333,4
203,27,0.333333333,0,1,3.666666667,0,0,2,4
203,28,1.333333333,1,1.333333333,2.333333333,0.333333333,0.333333333,1,3.666666667
203,29,1,1,1.333333333,2.333333333,0,0,2.333333333,4
203,30,1,1.333333333,2,2.333333333,0,0,2,4
203,31,2,2,3,3,0,0,3,4
203,32,2,2,2,3,0.333333333,0,2,4
203,33,2,2,2.333333333,3,0,0,3,4
