ID,DIARYDAY,M_Anx.,M_Sad.,M_Vig.,M_Con.,W_Anx.,W_Sad.,W_Vig.,W_Con.
809,16,0,0,2.666666667,3,1,0.333333333,3,2.333333333
809,17,0,0,2,2,2,0,1.666666667,2.666666667
809,18,0,0,2,2,0,0,2.666666667,3
809,19,1,0.666666667,2.333333333,2,2,0,1,3
809,20,0,0,3,3.333333333,1.333333333,0.666666667,2.666666667,3.333333333
811,0,0,0,1.666666667,3,0.666666667,0,2,3.666666667
811,1,0,0,2,3.333333333,0,0,1,3
811,2,0,0,2.333333333,4,0,0,3.333333333,4
811,3,0,0,3.333333333,3.333333333,0,0,3.666666667,4
811,4,0,0,3.333333333,4,0,0,3.333333333,4
811,5,0,0,3,4,0,0,2,3.666666667
811,6,0,0,0.666666667,3.666666667,0,0,0.666666667,4
811,7,0,0.333333333,1.333333333,2.333333333,0,0,1.333333333,3
811,8,0,0,1,4,0,0,2.333333333,4
811,9,0,0,0.666666667,3.333333333,0,0,2.666666667,3.666666667
811,11,0,0,2.333333333,3.333333333,0,0,3.333333333,3
811,12,0,0,0.666666667,3.333333333,0,0,2.666666667,4
811,13,0,0,2,4,0,0,3,4
811,14,0,0,1.333333333,3.333333333,0,0,1.666666667,4
811,15,0,0,0.666666667,4,0,0,0.666666667,3.666666667
811,16,0,0,0.666666667,4,0,0,3.333333333,4
811,17,0,0,1,4,0,0,1.666666667,4
811,18,0,0,3.333333333,4,0,0,3,4
811,19,0,0,0.333333333,2.333333333,0.666666667,0.333333333,3.333333333,2.333333333
811,20,0,0,3.333333333,4,0,0,3.333333333,4
812,0,2,1.333333333,1.666666667,2,2,2,1,1.666666667
812,1,0.666666667,0,2,3,1,1,1.333333333,2
812,2,0,0,2.666666667,3,0.666666667,0.333333333,2.333333333,3.666666667
812,3,0.333333333,0,2,2.333333333,0,0,3.666666667,4
812,4,2,0,2.666666667,3,0,0,4,4
812,5,0,0,2.333333333,2.333333333,2.333333333,0.666666667,2,2.333333333
812,6,0,0.333333333,2.333333333,3,1.666666667,2,2,1.666666667
812,7,0,0,2,2.333333333,3,1,2,2
812,8,0,0,2.666666667,3,1.666666667,1.333333333,2,1.666666667
812,9,0,0,2.333333333,2,1,0.333333333,2.333333333,2.333333333
812,10,0,0,1.666666667,2.666666667,0,0,2.333333333,3
812,11,0,0,2,2.666666667,1,0,4,3.666666667
812,12,0,0,2.333333333,3,0,0,4,4
812,13,0.333333333,0,2.333333333,1.666666667,2.666666667,2.666666667,2,1.333333333
812,14,0,0,2.666666667,2.666666667,1.666666667,1.333333333,1.333333333,1.666666667
812,15,0,0.333333333,1.666666667,2,1.666666667,1,1.666666667,1.333333333
812,16,0,0,3,3,2.666666667,1,2.333333333,3
812,17,0,0,3,3,1.333333333,0,3,3.333333333
812,18,0,0,3,3.333333333,0,0,3.666666667,4
812,19,0,0,3.666666667,3.333333333,0.333333333,0,3.666666667,4
812,20,0,0,3.666666667,4,0.333333333,0,4,2.333333333
813,0,0.333333333,0.333333333,3.333333333,4,1,0.333333333,2,3
813,1,0,0,3.333333333,3.666666667,1,0.333333333,2,2.333333333
813,2,0,0,3,3.666666667,0.666666667,0,1.666666667,2
813,3,0,0,3.333333333,3.333333333,0.666666667,0.666666667,1,1.666666667
813,4,0,0,3.333333333,3.666666667,1,1,1,1
813,5,0,0,3.666666667,3.333333333,0.666666667,1,0,0
813,6,0,0,3,3.666666667,0.333333333,0,1,1.666666667
813,7,0,0,3.666666667,3.666666667,0,0,0.666666667,1.666666667
813,8,0,0,3.666666667,3.333333333,0.333333333,1,0.333333333,1
813,9,0,0,3.333333333,3.666666667,1,1.666666667,0,1
813,10,0,0,3.666666667,3.666666667,0.666666667,0,1.666666667,1.333333333
813,11,0,0,3.333333333,3.666666667,0.333333333,0.333333333,0.666666667,1.666666667
813,12,0,0,3.666666667,3.666666667,0,0,1.666666667,1.666666667
813,13,0,0,3,3.666666667,1.333333333,1.666666667,0.333333333,0.666666667
813,14,0,0,4,3.666666667,1,0.333333333,0.666666667,1.333333333
813,15,0,0,3,3.666666667,0.333333333,0.333333333,0.666666667,1
813,16,0,0,3.333333333,3.666666667,2.666666667,3.333333333,0,0
813,17,0,0,3,3.666666667,2,3.333333333,0.333333333,0.666666667
813,18,0,0,3.666666667,3.666666667,0,0,2,2.666666667
813,19,0,0,4,3.666666667,0,0,1.666666667,3
813,20,0,0,3.666666667,4,0.333333333,0.333333333,1,2
814,0,1,0.333333333,2.333333333,3,0,0.333333333,2,2
814,1,1.333333333,0.666666667,1.666666667,2,0,0,1.666666667,3
814,2,2.666666667,3,1.666666667,1,0.666666667,1,1,1
814,3,3,3,1.666666667,1,2.333333333,1.666666667,0,0.666666667
814,4,3,1.666666667,2,2,0,0,2,2
814,5,3,0.666666667,2.666666667,2.666666667,0,0,2,2.333333333
814,6,2,1,3,3,0,0,2,2
814,7,3,0.333333333,2.666666667,3,0,0.333333333,2.666666667,2
814,10,2.333333333,0,2.666666667,3,0,0,3,2
814,11,3,1.666666667,1.666666667,1.666666667,0,0,2.666666667,2
814,12,3,0.666666667,1,2,0,0,2.666666667,1.333333333
814,13,2.666666667,1,2,2,0,0,2,2.333333333
814,14,3,0,1.666666667,2,0,0,2,2.333333333
814,15,2.666666667,1.666666667,0,1,0,0,1.333333333,1.666666667
814,16,3.333333333,0.666666667,1.333333333,1,0,0,2,1.666666667
814,17,3.333333333,1,3,2.666666667,0,0,2.666666667,1.666666667
814,18,2,0.333333333,3,3,0,0,2.333333333,2
814,19,3,0.333333333,1.666666667,2,0,0,2.666666667,1.666666667
814,20,1.666666667,0.333333333,2,3.666666667,,,,
815,0,0,0,2,2.666666667,0.666666667,0,2,3
815,1,0,0,2,2.666666667,0.666666667,0,1.333333333,2.666666667
815,2,0,0,3.666666667,3.666666667,0.666666667,0,3,3
815,3,0,0,2.333333333,3.333333333,0.666666667,0.666666667,2.333333333,2.666666667
815,4,0,0,2.666666667,3.333333333,0.333333333,0,2,3
815,5,0,0,3.333333333,3.333333333,0.666666667,0,1.666666667,3
815,6,0,0,2,3.333333333,0.666666667,0,2.333333333,3.666666667
815,7,0,0,2.333333333,3.333333333,0.666666667,0,2.666666667,4
815,8,0,0,2,1.666666667,0.333333333,0,2,3.333333333
815,9,0,0,3,4,0.333333333,0,3,3.333333333
815,10,0,0,3,3.666666667,0.333333333,0,1.666666667,3
815,11,0,0,3,3.666666667,2,0,2.666666667,4
815,12,0,0,3,4,0.666666667,0,2.333333333,3.666666667
815,13,0.333333333,0,2.666666667,3,0.333333333,0,2.666666667,3.333333333
815,14,0,0,2.333333333,3,0.666666667,0,2.333333333,3
815,15,0,0,2,3.333333333,0.666666667,0,2,3
815,16,0,0,3,3,0.333333333,0,2.333333333,3.333333333
815,17,0,0,2.333333333,3,0.333333333,0.333333333,2,2.666666667
815,18,0,0,3,4,0.333333333,0,2.666666667,3.333333333
815,19,0,0,3,4,0.666666667,0,2,3
815,20,0,0,3,3.666666667,0,0,2,3.333333333
816,0,1.333333333,0,2.666666667,3.666666667,0,2.333333333,0.666666667,1.666666667
816,1,1,0.333333333,2,2.666666667,0,0,1,3.666666667
816,2,0,0.333333333,2.666666667,3.333333333,0,0,0.333333333,3
816,3,0.333333333,0.666666667,1.333333333,3,0,1,0.333333333,3.333333333
816,4,0,0.666666667,0.666666667,3.333333333,0,0,0.666666667,3
816,5,0,1,0.666666667,2.333333333,1.666666667,3.666666667,0,0
816,6,0,0,1.666666667,3,0,0,1.333333333,2.666666667
816,7,0,0,1.666666667,3.333333333,0,0,1.333333333,4
816,8,0.333333333,0,2,3.666666667,0,0,1.333333333,4
816,9,0,0,1.333333333,3.666666667,0,0,2.666666667,4
816,10,0,0,1.666666667,3.666666667,1.666666667,0,0.666666667,4
816,11,0.666666667,0,2,4,2.333333333,1.666666667,0,3
816,12,0.333333333,1.333333333,0.666666667,2,0,2,0,1
816,13,0.333333333,0,1.666666667,3.666666667,1.333333333,1.333333333,1,2.333333333
816,14,0.666666667,0,2.333333333,3.666666667,0,0.333333333,1,2.333333333
816,15,0,0,1.666666667,4,0,0,2.666666667,4
816,16,0.333333333,0.333333333,1.666666667,4,0,0,1,4
816,17,0.666666667,0,1.666666667,4,0,0,2,4
816,18,0.666666667,0,1.333333333,4,0,0,1.666666667,4
816,19,0.666666667,0.333333333,1.333333333,4,0,0,1.666666667,4
816,20,0.333333333,0,2.666666667,4,0,0,3.333333333,4
817,0,0.666666667,0,2.333333333,3.666666667,0,0,2.333333333,3.333333333
817,1,1.333333333,0,2.666666667,3.666666667,0,0,2.666666667,4
817,2,0.666666667,0,3.333333333,4,0,0,2.666666667,4
817,3,0,0,4,4,0,0,2.666666667,4
