19182	21	2	1	.	.	.	.	.	.	1588211978	78	18	3	1	1588009498	202480	56.2444444444444	0	0	.	.	.	0	.	.	.	.	.	.	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588267348	85	19	4	1	1588009498	257850	71.625	0	0	.	.	.	0	.	.	.	.	.	.	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588273435	87	20	4	2	1588009498	263937	73.3158333333333	0	0	.	.	.	0	.	.	.	.	.	6	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588280979	95	21	4	2	1588009498	271481	75.4113888888889	0	0	0	1	0	1	4	3	3	3	3	7	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588286600	98	22	4	2	1588009498	277102	76.9727777777778	0	0	.	.	.	0	.	.	.	.	.	5	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588291720	101	23	4	2	1588009498	282222	78.395	0	0	0	0	0	1	7	5	5	5	5	7	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588297218	105	24	4	2	1588009498	287720	79.9222222222222	0	0	0	0	0	1	7	4	4	4	4	7	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588355181	114	25	5	2	1588009498	345683	96.0230555555556	0	0	0	1	0	1	4	4	4	4	4	7	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588361637	119	26	5	2	1588009498	352139	97.8163888888889	0	0	.	.	.	0	.	.	.	.	.	6	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
19182	21	2	1	.	.	.	.	.	.	1588366513	122	27	5	2	1588009498	357015	99.1708333333333	0	0	0	0	0	1	7	4	4	4	4	7	4	4	4	4	5	4.2	4	3	4	4	4	3.8	4	4	2	1	4	4	4	4	4	2.75	3.375	4	4	3	4	4	4	4	5	4.25	3.75	4	1
