dataset_id,item,n_cats_meta,n_distinct,range_min,range_max,status
0014,act_problemless,7,7,1,7,ok
0014,mobility_well,7,7,1,7,ok
0014,sit_still,7,7,1,7,ok
0014,speech_well,7,6,2,7,ok
0014,walk_well,7,7,1,7,ok
0014,tremor,7,7,1,7,ok
0014,slowness,7,6,1,6,ok
0014,stiffness,7,7,1,7,ok
0014,muscle_tension,7,7,1,7,ok
0014,dyskinesia,7,7,1,7,ok
0014,beep_disturbing,7,7,1,7,ok
0014,mor_slept_well,7,7,1,7,ok
0014,mor_often_awake,7,7,1,7,ok
0014,mor_rested,7,7,1,7,ok
0014,mor_tired_phys,7,7,1,7,ok
0014,mor_tired_ment,7,7,1,7,ok
0014,eve_many_offs,7,7,1,7,ok
0014,eve_long_offs,7,7,1,7,ok
0014,eve_walk_well,7,7,1,7,ok
0014,eve_clothing,7,7,1,7,ok
0014,eve_eat_well,7,7,1,7,ok
0014,eve_personalcare,7,7,1,7,ok
0014,eve_household,7,7,1,7,ok
0014,eve_tired,7,7,1,7,ok
0015,sleep_quality,4,4,1,4,ok
0015,pa,7,21,NA,NA,n_distinct_mismatch
0015,na,7,23,NA,NA,n_distinct_mismatch
0015,learning_goal_achievement,5,5,0,4,ok
0017,positive_feeling,4,4,0,3,ok
0017,negative_feeling,4,4,-3,0,ok
0017,positive_energy,4,4,0,3,ok
0017,negative_energy,4,4,-3,0,ok
0017,anxiety,4,4,0,3,ok
0017,annoying,4,4,0,3,ok
0018,valence,101,101,-50,50,ok
0018,arousal,101,101,0,100,ok
0018,valence_slider_initial,101,101,-50,50,ok
0018,arousal_slider_initial,101,101,0,100,ok
0019,sleep_quality,5,5,1,5,ok
0019,morning_ok,5,5,1,5,ok
0019,enjoy_school,5,5,1,5,ok
0019,stressed,5,5,1,5,ok
0019,motivated,5,5,1,5,ok
0019,angry,5,5,1,5,ok
0019,liked,5,5,1,5,ok
0019,lonely,5,5,1,5,ok
0019,alert,5,5,1,5,ok
0019,stupid,5,5,1,5,ok
0019,lecture_enjoy,5,4,1,4,ok
0019,lecture_difficult,5,5,1,5,ok
0019,lecture_interesting,5,5,1,5,ok
0019,teacher_strict,5,5,1,5,ok
0019,teacher_fair,5,5,1,5,ok
0019,teacher_encouraging,5,5,1,5,ok
0019,peer_relationship,5,5,1,5,ok
0019,schoolday_satisfaction,10,10,1,10,ok
0021,extraversion,7,13,NA,NA,n_distinct_mismatch
0021,agreeableness,7,13,NA,NA,n_distinct_mismatch
0021,conscientiousness,7,13,NA,NA,n_distinct_mismatch
0021,emotional_stability,7,13,NA,NA,n_distinct_mismatch
0021,openness,7,13,NA,NA,n_distinct_mismatch
0022,well,7,7,1,7,ok
0022,discontent,7,7,1,7,ok
0022,state,7,7,1,7,ok
0022,tense,7,7,1,7,ok
0022,calm,7,7,1,7,ok
0022,placid,7,7,1,7,ok
0022,awake,7,7,1,7,ok
0022,energyless,7,7,1,7,ok
0022,rested,7,7,1,7,ok
0022,too_much,7,7,1,7,ok
0022,work_fast,7,7,1,7,ok
0022,multitasking,7,7,1,7,ok
0022,hard_work,7,7,1,7,ok
0022,change_task,7,7,1,7,ok
0022,decide_task,7,7,1,7,ok
0022,schedule_task,7,7,1,7,ok
0023,control_fixmood,101,99,0,100,ok
0023,control_fixthought,101,98,0,100,ok
0023,dealt_stress,101,101,0,100,ok
0023,felt_overwhelm,101,101,0,100,ok
0023,alc_intox,7,7,0,6,ok
0024,well,7,7,1,7,ok
0024,awake,7,7,1,7,ok
0024,relaxed,7,7,1,7,ok
0024,good,7,7,1,7,ok
0024,rested,7,7,1,7,ok
0024,pleased,7,7,1,7,ok
0024,calm,7,7,1,7,ok
0024,happy,7,7,1,7,ok
0024,organized,7,7,1,7,ok
0024,talkative,7,7,1,7,ok
0024,persistent,7,7,1,7,ok
0024,outgoing,7,7,1,7,ok
0024,assertive,7,7,1,7,ok
0024,study_burden,5,5,1,5,ok
0024,study_interfere,5,5,1,5,ok
0024,study_annoy,5,5,1,5,ok
0024,report_easy,7,7,1,7,ok
0024,report_sure,7,7,1,7,ok
0025,well,7,7,1,7,ok
0025,awake,7,7,1,7,ok
0025,relaxed,7,7,1,7,ok
0025,pleased,7,7,1,7,ok
0025,bold,5,5,1,5,ok
0025,energetic,5,5,1,5,ok
0025,extraverted,5,5,1,5,ok
0025,talkative,5,5,1,5,ok
0025,study_burden,5,5,1,5,ok
