id	day	men_anxiety	men_sadness	men_vigor	men_contentment	women_anxiety	women_sadness	women_vigor	women_contentment	beep
201	0	0	0.333333333	2.666666667	2.666666667	1.333333333	0.333333333	1	2	1
201	1	0	0	2.333333333	3	1	0	2	2.666666667	1
201	2	0	1	2.333333333	2.666666667	0.333333333	0	2	2.666666667	1
201	3	0	0	2	2.666666667	0.333333333	0	1	2.666666667	1
201	4	0.666666667	0.333333333	2	1.666666667	0.666666667	0	2	2.333333333	1
201	5	0	0.333333333	2.333333333	2	0.666666667	0	2	2.666666667	1
201	6	0.666666667	0	0.666666667	2	0.666666667	0	2.333333333	2.666666667	1
201	7	0.333333333	0	1.666666667	2.333333333	0.666666667	0	1.333333333	3	1
201	8	0	0	2	3	0.666666667	0.333333333	2	2.333333333	1
201	9	0	0	2.666666667	3	1	0	1.333333333	2	1
201	10	0	0	1.333333333	4	0.333333333	0	2	3	1
201	11	0	0	2.666666667	3.666666667	0.666666667	0.333333333	2	2.666666667	1
201	12	0	0	3	4	1	1.333333333	0.666666667	1.333333333	1
201	13	0	0	1.666666667	3.333333333	0.333333333	0.666666667	1	2	1
201	14	0	0	2	3	1	0.333333333	0.666666667	1.333333333	1
201	15	0	0	2.333333333	3.333333333	0.333333333	0.333333333	1	2	1
201	16	0	0	1	2.666666667	0.333333333	0.333333333	1	2.666666667	1
201	17	2	1.666666667	0.333333333	1.333333333	1	0.666666667	0.333333333	1.666666667	1
201	18	1	0.666666667	2.666666667	3	1	0.333333333	2	2.333333333	1
201	19	0	0	2.666666667	4	1	0.333333333	1.666666667	2.666666667	1
201	20	0	0	2.666666667	4	0.666666667	0.333333333	1.666666667	3	1
201	21	0	0	2.333333333	3.666666667	1.333333333	0.666666667	0.666666667	2	1
201	22	0	0	2.333333333	4	0.333333333	0	1.666666667	3	1
201	23	0	0	2	3	1.666666667	0.333333333	1	2	1
201	24	0	0	2.666666667	4	0.666666667	0	2	2.666666667	1
201	25	0	0	2	3.333333333	0.666666667	0	2	3	1
201	26	0	0	2	3.666666667	0.666666667	0.333333333	2	2.666666667	1
201	27	0.333333333	0	0	2	0.666666667	0	1	1.666666667	1
