id	date	day	beep	positive_affect	negative_affect	urgency	er_no_try	er_accept	er_advice	er_reappraisal	er_problem_solving	er_introspection	er_exp_suppress	er_emo_suppress	er_distraction	effectiveness	social_context	er_number_strategies	alone
3010	2016-10-07T14:50:35.269233	2	NA	74	23	100	0	0	0	1	1	0	0	0	0	65	Romantic partner/close friend	2	0
3010	2016-10-07T16:19:05.396102	2	NA	82	37	23	0	0	0	1	0	1	0	0	0	69	Romantic partner/close friend	2	0
3010	2016-10-08T11:48:30.039572	3	NA	84	12	12	0	0	0	0	1	0	0	0	0	81	Romantic partner/close friend	1	0
3010	2016-10-08T20:53:25.588462	3	NA	79	17	19	0	0	1	0	1	0	0	0	0	82	Romantic partner/close friend	2	0
3010	2016-10-09T09:36:22.507616	4	NA	80	17	19	0	0	0	1	1	0	0	0	0	78	Romantic partner/close friend	2	0
3010	2016-10-09T14:32:33.510051	4	NA	92	19	19	0	0	0	1	1	0	0	0	0	76	Romantic partner/close friend	2	0
3010	2016-10-12T16:06:37.327696	7	NA	36	62	62	0	0	0	0	0	1	0	0	0	55	I am alone	1	1
3010	2016-10-12T19:47:01.805660	7	NA	32	64	61	0	0	0	0	0	1	0	0	0	60	I am alone	1	1
3010	2016-10-20T13:48:44.418119	15	NA	22	80	83	0	0	0	0	0	1	0	0	0	58	I am alone	1	1
3011	2016-10-17T16:05:02.754574	12	NA	42	38	62	0	0	0	0	0	0	0	0	1	60	Classmate/coworker	1	0
3011	2016-10-19T12:12:20.530359	14	NA	60	17	67	0	0	0	0	0	0	0	0	1	66	I am alone	1	1
3011	2016-10-19T15:26:52.180641	14	NA	55	26	40	0	0	0	0	0	0	0	1	1	59	Classmate/coworker	2	0
3011	2016-10-20T19:50:19.291157	15	NA	79	18	22	0	0	0	0	1	0	0	0	0	60	I am alone	1	1
3011	2016-10-21T15:36:58.380606	16	NA	82	25	29	0	0	0	0	0	0	0	1	0	59	I am alone	1	1
3011	2016-10-21T17:04:15.049772	16	NA	76	21	32	0	0	0	0	0	1	0	0	0	61	I am alone	1	1
3011	2016-10-22T15:36:31.998029	17	NA	67	30	33	0	0	0	0	0	1	0	0	0	63	Romantic partner/close friend	1	0
3011	2016-10-22T18:30:31.287875	17	NA	73	18	40	0	1	0	0	0	1	0	0	0	53	Romantic partner/close friend	2	0
3011	2016-10-22T19:02:58.101445	17	NA	41	64	59	0	0	0	0	0	1	0	0	0	59	Romantic partner/close friend	1	0
3011	2016-10-23T09:33:31.263709	18	NA	39	58	59	0	0	0	0	0	0	0	1	0	55	I am alone	1	1
3011	2016-10-23T15:19:47.366609	18	NA	43	35	56	0	0	0	0	0	0	0	1	0	62	Romantic partner/close friend	1	0
3011	2016-10-23T17:16:37.647442	18	NA	66	34	65	0	0	0	0	0	0	0	1	0	58	Romantic partner/close friend	1	0
3011	2016-10-24T12:13:45.956285	19	NA	59	39	58	0	0	0	0	0	0	0	0	1	54	I am alone	1	1
3013	2016-10-07T16:29:22.896814	2	NA	37	65	34	0	0	0	0	0	0	1	0	0	NA	I am alone	1	1
3013	2016-10-08T13:15:59.110604	3	NA	33	65	26	0	0	0	0	0	1	0	0	0	29	Classmate/coworker	1	0
3013	2016-10-08T15:47:19.351589	3	NA	23	69	69	0	1	0	0	0	0	0	0	0	50	Classmate/coworker	1	0
3013	2016-10-08T19:38:00.505821	3	NA	26	70	27	0	0	0	0	0	1	0	0	0	26	I am alone	1	1
3013	2016-10-09T19:22:32.232500	4	NA	25	63	35	0	0	0	0	0	1	0	0	0	32	Classmate/coworker	1	0
3013	2016-10-10T14:46:02.383291	5	NA	16	72	33	0	0	0	0	0	1	0	0	0	68	I am alone	1	1
3013	2016-10-10T17:35:41.395781	5	NA	30	76	18	0	0	0	0	1	0	0	0	0	25	I am alone	1	1
3013	2016-10-11T17:40:47.230717	6	NA	25	69	66	0	1	0	0	0	0	0	0	0	25	I am alone	1	1
3013	2016-10-12T15:46:31.974040	7	NA	34	44	41	0	1	0	0	0	0	0	0	0	NA	I am alone	1	1
3013	2016-10-13T11:52:50.307260	8	NA	33	64	74	0	0	0	1	0	0	0	0	0	85	Classmate/coworker	1	0
3013	2016-10-13T14:14:35.086277	8	NA	30	66	77	0	0	0	0	0	0	1	0	0	37	I am alone	1	1
3013	2016-10-14T10:31:30.551034	9	NA	26	67	29	0	0	0	0	0	0	1	0	0	40	I am alone	1	1
3013	2016-10-16T16:45:17.167005	11	NA	22	78	82	0	1	0	0	0	0	0	0	0	29	Classmate/coworker	1	0
3013	2016-10-18T12:05:52.064372	13	NA	31	76	23	0	1	0	0	0	0	1	0	0	36	Classmate/coworker	2	0
3013	2016-10-18T16:04:58.821676	13	NA	24	76	38	0	1	0	0	1	0	0	0	0	30	I am alone	2	1
3013	2016-10-19T16:07:34.098978	14	NA	9	95	93	0	0	0	0	0	1	0	1	0	18	I am alone	2	1
3013	2016-10-21T14:03:03.659480	16	NA	21	79	22	0	1	0	0	0	1	0	0	0	15	I am alone	2	1
3014	2016-10-06T19:46:21.179198	1	NA	81	25	32	0	0	0	1	0	1	0	0	0	NA	I am alone	2	1
3014	2016-10-07T14:11:02.253226	2	NA	68	24	24	0	1	1	1	0	0	0	0	0	71	I am alone	3	1
3015	2016-10-06T19:58:20.329685	1	NA	76	19	57	0	0	0	0	0	0	0	1	1	54	I am alone	2	1
3015	2016-10-08T19:19:18.320456	3	NA	71	30	12	0	0	0	1	0	0	0	0	0	64	Romantic partner/close friend	1	0
3015	2016-10-11T16:39:24.177035	6	NA	80	14	49	0	1	0	1	0	0	0	0	0	61	I am alone	2	1
3015	2016-10-12T09:48:38.326458	7	NA	68	29	66	0	1	0	0	0	0	0	0	0	37	I am alone	1	1
3015	2016-10-12T11:27:19.005732	7	NA	69	36	38	0	0	0	0	0	0	0	1	0	41	I am alone	1	1
3015	2016-10-12T18:26:00.756817	7	NA	70	20	27	0	0	0	0	0	1	0	0	0	76	Romantic partner/close friend 	1	0
3015	2016-10-12T19:49:37.382956	7	NA	67	24	27	0	1	0	0	0	0	0	0	0	62	Romantic partner/close friend 	1	0
3015	2016-10-13T10:28:29.655894	8	NA	69	21	34	0	0	0	0	0	1	0	0	0	67	Classmate/coworker	1	0
3015	2016-10-13T13:07:52.606548	8	NA	68	25	23	0	0	0	0	0	0	0	0	1	57	Classmate/coworker	1	0
3015	2016-10-13T17:03:32.708321	8	NA	80	21	1	0	0	0	1	0	0	0	0	0	74	Romantic partner/close friend 	1	0
3015	2016-10-14T09:49:06.348695	9	NA	75	24	59	0	1	0	0	0	0	0	0	0	39	I am alone	1	1
3015	2016-10-19T09:53:38.210338	14	NA	76	31	63	0	0	0	1	0	0	0	1	0	54	I am alone	2	1
3015	2016-10-19T16:09:25.699016	14	NA	78	28	62	0	1	0	0	1	0	0	0	0	48	Romantic partner/close friend 	2	0
3015	2016-10-20T12:25:00.642868	15	NA	81	30	31	0	0	1	0	0	0	0	0	0	56	Classmate/coworker	1	0
3015	2016-10-20T13:44:19.925420	15	NA	71	16	26	0	0	0	0	0	1	0	0	0	64	Romantic partner/close friend 	1	0
3015	2016-10-20T15:20:26.611823	15	NA	77	27	37	0	0	0	0	1	0	0	0	0	63	I am alone	1	1
3015	2016-10-20T18:44:21.003973	15	NA	69	27	30	0	0	0	1	0	0	0	0	0	72	I am alone	1	1
3015	2016-10-21T14:33:27.005839	16	NA	77	20	26	0	0	0	0	0	1	0	0	0	67	Romantic partner/close friend 	1	0
3015	2016-10-21T16:03:24.509860	16	NA	73	20	32	0	0	0	0	0	0	1	0	0	76	I am alone	1	1
3016	2016-10-07T11:36:19.876174	1	NA	100	10	1	0	0	0	0	1	1	0	0	0	91	Romantic partner/close friend	2	0
3016	2016-10-08T11:41:59.608392	2	NA	73	36	26	0	0	1	1	0	0	0	0	1	80	Romantic partner/close friend	3	0
3016	2016-10-08T14:05:10.704647	2	NA	100	1	4	0	0	0	0	1	0	0	0	0	100	Romantic partner/close friend	1	0
3016	2016-10-10T10:34:53.497607	4	NA	68	43	63	0	0	1	0	1	0	0	0	1	63	I am alone	3	1
3016	2016-10-10T12:06:29.290108	4	NA	61	27	79	0	0	1	1	0	1	0	0	0	69	I am alone	3	1
3016	2016-10-10T14:00:39.454020	4	NA	74	19	58	0	0	1	0	0	1	0	0	0	81	Romantic partner/close friend	2	0
3016	2016-10-10T15:16:39.100194	4	NA	80	10	39	0	1	1	0	0	0	0	0	0	85	I am alone	2	1
3016	2016-10-12T17:41:22.354149	6	NA	100	1	1	0	0	0	0	1	0	0	0	0	100	I am alone	1	1
3016	2016-10-14T14:23:18.334175	8	NA	100	1	2	0	0	0	0	1	0	0	0	0	99	I am alone	1	1
3016	2016-10-14T15:22:20.015451	8	NA	100	18	13	0	0	0	0	1	0	0	0	0	94	I am alone	1	1
3016	2016-10-16T09:03:28.938318	10	NA	73	43	78	0	0	0	1	1	0	0	0	0	56	Romantic partner/close friend 	2	0
3016	2016-10-16T12:37:06.808485	10	NA	97	32	30	0	0	0	0	1	0	0	1	0	87	Romantic partner/close friend 	2	0
3016	2016-10-21T13:58:53.073292	15	NA	78	1	9	0	0	0	0	1	0	0	0	0	96	Romantic partner/close friend 	1	0
3016	2016-10-21T16:34:49.199784	15	NA	99	3	1	0	0	0	0	0	1	0	0	0	93	I am alone	1	1
3017	2016-10-08T13:59:06.513569	1	NA	59	28	26	0	0	0	0	0	0	0	0	1	58	I am alone	1	1
3017	2016-10-08T17:39:33.880320	1	NA	67	23	10	0	1	0	0	0	0	0	0	1	73	Romantic partner/close friend	2	0
3017	2016-10-08T19:29:07.071505	1	NA	77	24	20	0	0	0	1	0	0	0	0	1	69	Romantic partner/close friend	2	0
3017	2016-10-10T20:32:20.273297	3	NA	42	55	59	0	0	0	1	0	1	0	1	1	52	Acquaintance/stranger 	4	0
3017	2016-10-11T15:19:56.742867	4	NA	41	60	67	0	0	0	0	0	0	0	1	1	50	Classmate/coworker	2	0
3017	2016-10-11T18:21:23.370440	4	NA	41	54	57	0	0	0	0	0	0	0	1	1	54	Romantic partner/close friend 	2	0
3017	2016-10-11T20:04:20.754625	4	NA	41	59	62	0	0	0	0	0	0	0	0	1	49	I am alone	1	1
3017	2016-10-12T15:16:12.387151	5	NA	45	59	70	0	1	0	0	0	0	0	0	0	53	Acquaintance/stranger 	1	0
3017	2016-10-12T17:44:37.868443	5	NA	44	52	57	0	1	0	0	0	0	0	1	0	51	I am alone	2	1
3017	2016-10-13T11:03:18.117480	6	NA	46	55	66	0	1	0	0	0	0	0	0	0	56	I am alone	1	1
3017	2016-10-13T17:42:48.964590	6	NA	61	41	46	0	1	0	0	0	0	0	0	0	57	Romantic partner/close friend 	1	0
3017	2016-10-13T20:39:12.765820	6	NA	38	60	76	0	1	0	0	0	0	0	0	0	41	Classmate/coworker	1	0
3017	2016-10-15T11:28:24.071319	8	NA	72	35	34	0	1	0	0	0	0	0	0	0	55	Romantic partner/close friend 	1	0
3017	2016-10-15T16:09:12.180516	8	NA	72	27	27	0	1	0	0	0	0	0	0	0	74	Romantic partner/close friend 	1	0
3017	2016-10-18T19:38:24.442522	11	NA	53	45	34	0	1	0	0	0	0	0	0	0	55	Romantic partner/close friend	1	0
3017	2016-10-19T09:14:20.849450	12	NA	57	40	38	0	1	0	0	0	0	0	0	0	53	I am alone	1	1
3017	2016-10-19T12:21:11.574261	12	NA	54	42	31	0	1	0	0	0	0	0	0	0	61	Romantic partner/close friend	1	0
3017	2016-10-19T13:57:57.697824	12	NA	67	41	33	0	1	0	0	0	0	0	0	0	52	Romantic partner/close friend	1	0
3017	2016-10-19T15:34:15.804121	12	NA	43	54	47	0	1	0	0	0	0	0	0	0	48	Acquaintance/Stranger	1	0
3017	2016-10-19T17:51:17.927788	12	NA	37	57	67	0	1	0	0	0	0	0	0	0	58	Romantic partner/close friend	1	0
3017	2016-10-20T09:20:05.019188	13	NA	58	34	34	0	1	0	0	0	0	0	0	0	57	Classmate/coworker	1	0
3017	2016-10-20T12:01:17.244359	13	NA	44	53	57	0	1	0	0	0	0	0	1	0	54	I am alone	2	1
3017	2016-10-23T11:18:55.911775	16	NA	64	30	27	0	1	0	0	0	0	0	0	0	61	Romantic partner/close friend	1	0
3017	2016-10-23T13:50:49.974993	16	NA	67	34	35	0	1	0	0	0	0	0	0	0	61	Romantic partner/close friend	1	0
3018	2016-10-07T18:34:18.344296	1	NA	67	17	52	0	1	0	0	0	0	0	0	1	54	I am alone	2	1
3018	2016-10-08T09:48:55.765624	2	NA	81	8	17	0	0	1	0	0	0	0	0	0	73	I am alone	1	1
3018	2016-10-08T11:32:21.523565	2	NA	76	10	26	0	0	0	0	1	0	0	0	0	75	I am alone	1	1
3018	2016-10-09T17:25:41.818062	3	NA	88	2	10	0	1	0	0	0	0	0	0	0	79	I am alone	1	1
3019	2016-10-12T09:03:53.123291	2	NA	71	15	20	0	1	0	0	0	0	0	0	0	58	I am alone	1	1
3019	2016-10-15T16:35:58.866872	5	NA	88	5	13	0	0	0	0	1	0	0	0	0	58	Classmate/coworker	1	0
3019	2016-10-26T14:15:33.719418	16	NA	58	41	59	0	0	0	0	1	0	0	0	0	56	I am alone	1	1
3020	2016-10-11T12:31:12.858776	2	NA	92	70	82	0	0	1	1	1	1	0	0	0	76	I am alone	4	1
3020	2016-10-11T14:24:17.618702	2	NA	96	20	51	0	0	1	0	0	0	0	0	0	88	I am alone	1	1
3020	2016-10-11T18:02:34.993078	2	NA	87	5	12	0	0	1	0	0	0	0	0	0	100	I am alone	1	1
3020	2016-10-14T14:39:12.639190	5	NA	36	82	100	0	1	0	0	0	1	0	0	0	62	Classmate/coworker	2	0
3020	2016-10-14T15:26:34.112701	5	NA	25	70	100	0	0	0	0	0	1	0	0	0	30	Classmate/coworker	1	0
