id	affect	loneliness	all_pre	com_pre	sm_pre	oth_pre	all_post	com_post	sm_post	oth_post	beep	day
261	5	2	13.95525	3.09571666666667	3.32566666666667	7.533866666666659	9.1344	0.1002	5.08331666666667	3.95088333333333	NA	NA
261	7	2	11.7008166666667	2.5879	8.53443333333333	0.5784833333333701	2.14871666666667	0.520433333333333	1.5734	0.05488333333333717	NA	NA
261	6	2	1.93675	1.91503333333333	0	0.021716666666669937	27.4905833333333	5.46968333333333	6.99573333333333	15.025166666666642	NA	NA
261	4	4	1.271	0	0	1.271	0.419933333333333	0.419933333333333	0	0	NA	NA
261	5	2	0.790583333333333	0.43535	0	0.35523333333333296	0.627983333333333	0.627983333333333	0	0	NA	NA
261	6	2	4.03958333333333	1.06666666666667	1.47066666666667	1.5022499999999903	21.3309	0.27865	20.1984833333333	0.8537666666667008	NA	NA
261	4	4	4.99225	0.448216666666667	3.39813333333333	1.1459000000000032	10.7035333333333	1.09875	8.05891666666667	1.5458666666666314	NA	NA
261	6	2	11.4083833333333	3.84316666666667	5.68086666666667	1.8843499999999587	13.3626166666667	1.69553333333333	9.01753333333333	2.6495500000000405	NA	NA
261	4	4	5.97281666666667	0.594533333333333	0.05475	5.323533333333337	3.31848333333333	3.31848333333333	0	0	NA	NA
261	6	4	3.41228333333333	1.2589	0	2.1533833333333297	2.49708333333333	1.11411666666667	0	1.3829666666666602	NA	NA
261	4	4	3.38038333333333	1.07538333333333	1.77798333333333	0.5270166666666698	3.63786666666667	0	0	3.63786666666667	NA	NA
261	3	5	24.09725	1.73176666666667	21.4204	0.9450833333333293	5.68275	0	1.35698333333333	4.32576666666667	NA	NA
261	4	2	8.4369	1.13261666666667	0	7.30428333333333	16.6199666666667	0.517466666666667	2.69315	13.409350000000032	NA	NA
261	4	4	16.6225166666667	0.571733333333333	0	16.050783333333367	15.9478166666667	1.19173333333333	0	14.75608333333337	NA	NA
261	4	4	16.0435666666667	0.936583333333333	0	15.106983333333366	27.27915	0.307383333333333	21.20365	5.768116666666668	NA	NA
261	4	4	7.47435	3.05636666666667	0	4.41798333333333	0.471383333333333	0.471383333333333	0	0	NA	NA
261	4	4	0.406666666666667	0.389016666666667	0	0.01765	1.48653333333333	1.35338333333333	0	0.13314999999999988	NA	NA
261	6	2	0.0650666666666666	0.0492	0	0.015866666666666605	2.49701666666667	0.242683333333333	0	2.2543333333333373	NA	NA
261	7	1	5.91736666666667	0.0443	1.46586666666667	4.4072	0	0	0	0	NA	NA
261	7	1	0.0954833333333333	0	0	0.0954833333333333	0	0	0	0	NA	NA
261	7	1	8.58263333333333	0	0	8.58263333333333	4.74495	0	0	4.74495	NA	NA
261	4	3	60	0	60	0	9.71401666666667	2.98246666666667	6.58456666666667	0.14698333333332947	NA	NA
261	3	4	1.33543333333333	0.217833333333333	1.10563333333333	0.011966666666666903	3.51138333333333	0.358283333333333	1.76226666666667	1.3908333333333271	NA	NA
261	4	4	3.78226666666667	3.78226666666667	0	0	9.35056666666667	2.73553333333333	4.319	2.296033333333339	NA	NA
261	4	4	9.53768333333333	0.829733333333333	8.6719	0.03604999999999592	2.53256666666667	0.213433333333333	0	2.319133333333337	NA	NA
261	6	2	3.5574833333333298	0.449766666666667	0	3.1077166666666627	1.65088333333333	0.223816666666667	1.1373	0.28976666666666295	NA	NA
261	4	3	9.80858333333333	0.0871	6.8751	2.84638333333333	0	0	0	0	NA	NA
261	5	3	0.941783333333334	0.941783333333334	0	0	6.06658333333333	1.56883333333333	4.48706666666667	0.010683333333330047	NA	NA
261	4	4	20.7904833333333	1.2155	3.75931666666667	15.81566666666663	5.05905	0.51145	0.443966666666667	4.103633333333333	NA	NA
261	4	2	1.20486666666667	1.12398333333333	0	0.08088333333334008	8.48753333333333	3.42441666666667	0.30285	4.760266666666659	NA	NA
261	5	2	25.1624833333333	0.469333333333333	13.9254833333333	10.767666666666667	0	0	0	0	NA	NA
261	4	1	1.39088333333333	1.39088333333333	0	0	1.54503333333333	1.54503333333333	0	0	NA	NA
261	7	1	4.2755	0.534983333333333	2.5307	1.2098166666666672	6.0692	0.986383333333333	0	5.082816666666668	NA	NA
261	7	1	13.7222166666667	0.656266666666667	0.603133333333333	12.4628166666667	1.5868	0.1617	0.29995	1.12515	NA	NA
261	7	1	12.0941	0.26515	10.8728666666667	0.9560833333332983	19.7657166666667	0.121883333333333	17.90765	1.7361833333333685	NA	NA
260	2	2	27.1184166666667	0.775216666666667	0	26.343200000000035	9.35605	0.490833333333333	0	8.865216666666667	NA	NA
260	5	1	37.4139166666667	2.2893	33.5353666666667	1.589250000000007	9.63565	1.44756666666667	0	8.18808333333333	NA	NA
260	4	3	11.08775	4.98195	1.86206666666667	4.24373333333333	0	0	0	0	NA	NA
260	2	2	6.92341666666667	0	6.91641666666667	0.006999999999999673	1.63605	0.37645	0	1.2596	NA	NA
260	3	3	0.38605	0.37645	0	0.009599999999999997	1.96826666666667	1.05813333333333	0	0.9101333333333399	NA	NA
260	3	6	0.0647333333333333	0	0	0.0647333333333333	1.3644	1.3644	0	0	NA	NA
260	3	3	2.0285	0	0	2.0285	1.44558333333333	1.44558333333333	0	0	NA	NA
260	3	5	6.94905	0	6.9291	0.01994999999999969	0.397766666666667	0.397766666666667	0	0	NA	NA
260	3	3	9.74388333333333	2.92818333333333	6.81128333333333	0.0044166666666694	0	0	0	0	NA	NA
260	5	2	26.82615	0	26.8149833333333	0.011166666666699854	36.69955	0	10.6825333333333	26.017016666666702	NA	NA
