id	os	day	day_of_week	beep	survey_type	run_timestamp	submission_timestamp	well	discontent	state	tense	calm	placid	awake	energyless	rested	what	how	whom	n_people	too_much	work_fast	multitasking	hard_work	change_task	decide_task	schedule_task
S003	iOS	2	Friday	5	work	2019-03-29T14:39:39Z	2019-03-29T14:42:14Z	6	4	6	4	5	6	4	5	4	ANALYSIS	PC	ALONE	8	4	4	2	3	2	2	3
S003	iOS	2	Friday	6	work	2019-03-29T15:56:07Z	2019-03-29T15:57:54Z	7	1	5	1	6	7	5	5	5	BREAK,ANALYSIS	PC	ALONE	8	4	3	3	3	3	3	3
S003	iOS	2	Friday	7	work	2019-03-29T19:00:42Z	2019-03-29T19:02:31Z	7	4	5	4	4	5	3	5	4	BREAK,ANALYSIS	PC	ALONE	8	4	3	3	4	2	2	3
S003	iOS	3	Wednesday	3	work	2019-04-03T12:15:26Z	2019-04-03T12:17:47Z	4	4	5	4	4	4	4	4	4	ANALYSIS	PC	ALONE	5	4	4	4	4	4	3	4
S004	Android	1	Monday	1	baseline	2019-04-01T09:15:00Z	2019-04-01T09:16:38Z	6	1	6	1	6	7	4	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S004	Android	1	Monday	2	work	2019-04-01T10:29:38Z	2019-04-01T10:38:14Z	5	3	7	2	6	7	6	2	7	ACQUISITION	PC	ALONE	3	4	2	4	2	2	6	4
S004	Android	1	Monday	3	work	2019-04-01T11:52:03Z	2019-04-01T11:55:11Z	5	2	6	3	6	6	5	2	5	ADMINISTRATIVE	PC	COLL	3	4	4	3	3	3	5	5
S004	Android	1	Monday	4	work	2019-04-01T13:21:43Z	2019-04-01T13:27:39Z	4	3	5	4	6	5	4	4	5	ACQUISITION	PC,PHONE	ALONE	3	5	4	4	4	2	5	5
S004	Android	1	Monday	5	work	2019-04-01T14:53:22Z	2019-04-01T14:55:50Z	4	4	6	4	6	6	4	5	3	ACQUISITION,ADMINISTRATIVE	PC	COLL	3	4	2	4	3	3	5	5
S004	Android	1	Monday	6	work	2019-04-01T16:33:22Z	2019-04-01T16:36:21Z	4	3	4	3	6	6	3	3	4	ACQUISITION	PC	COLL	2	5	3	3	4	3	5	3
S004	Android	1	Monday	7	work	2019-04-01T18:08:22Z	2019-04-01T18:12:59Z	4	3	6	3	6	6	2	4	3	ACQUISITION	PC,PHONE	ALONE	2	5	3	3	3	3	5	6
S004	Android	2	Wednesday	1	baseline	2019-04-03T09:15:00Z	2019-04-03T09:17:01Z	7	1	6	2	7	7	6	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S004	Android	2	Wednesday	2	work	2019-04-03T10:22:50Z	2019-04-03T10:39:15Z	7	2	7	1	7	7	7	1	6	ACQUISITION	PC,PAPER	COLL	1	3	3	3	3	6	6	6
S004	Android	2	Wednesday	3	work	2019-04-03T11:58:20Z	2019-04-03T12:05:52Z	5	2	7	3	6	7	6	6	6	ACQUISITION	PC	COLL	2	4	3	4	4	4	6	6
S004	Android	2	Wednesday	4	work	2019-04-03T13:38:17Z	2019-04-03T13:44:57Z	5	2	6	2	6	6	5	3	6	ACQUISITION	PC,PHONE	ALONE	3	4	5	4	4	3	7	7
S004	Android	2	Wednesday	5	work	2019-04-03T14:57:54Z	2019-04-03T15:00:48Z	6	2	7	3	6	6	5	5	5	ACQUISITION,NETWORKING	PC,PHONE	ALONE	3	4	3	3	3	5	5	5
S004	Android	2	Wednesday	6	work	2019-04-03T16:27:54Z	2019-04-03T16:32:47Z	6	2	4	2	6	6	4	5	5	ACQUISITION	PC	COLL	3	4	4	4	4	4	4	5
S004	Android	2	Wednesday	7	work	2019-04-03T18:00:56Z	2019-04-03T18:02:56Z	6	2	6	4	6	6	4	4	4	ACQUISITION	PC	COLL	3	5	4	4	4	5	5	5
S004	Android	3	Friday	1	baseline	2019-04-05T09:15:00Z	2019-04-05T09:17:53Z	7	2	5	2	6	5	5	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S004	Android	3	Friday	3	work	2019-04-05T11:57:53Z	2019-04-05T11:59:46Z	6	2	6	2	6	6	6	2	6	ACQUISITION	PC	ALONE	2	3	2	3	3	4	6	6
S004	Android	3	Friday	4	work	2019-04-05T13:32:53Z	2019-04-05T13:40:44Z	6	3	5	2	5	6	4	5	5	ACQUISITION	PC	COLL	3	4	4	4	5	5	5	5
S004	Android	3	Friday	5	work	2019-04-05T15:07:31Z	2019-04-05T15:12:59Z	5	4	5	5	5	5	4	4	5	ACQUISITION	PC,PHONE	COLL	2	4	4	5	4	5	5	5
S004	Android	3	Friday	6	work	2019-04-05T16:32:30Z	2019-04-05T16:34:34Z	6	2	6	2	6	7	4	3	5	ACQUISITION,ADMINISTRATIVE	PC	COLL	2	3	2	4	3	3	6	6
S004	Android	3	Friday	7	work	2019-04-05T18:02:31Z	2019-04-05T18:05:12Z	6	2	5	4	6	5	3	4	3	ADMINISTRATIVE	PC	ALONE	2	5	3	4	4	4	5	5
S005	Android	1	Monday	2	work	2018-12-03T10:38:26Z	2018-12-03T10:42:21Z	5	2	5	3	4	4	5	4	4	ANALYSIS	PC	ALONE	0	5	5	3	6	6	7	5
S005	Android	1	Monday	3	work	2018-12-03T11:50:29Z	2018-12-03T12:00:12Z	5	3	5	4	5	5	4	4	4	NETWORKING	PC	ALONE	0	5	5	4	4	5	5	6
S005	Android	1	Monday	4	work	2018-12-03T13:25:30Z	2018-12-03T13:29:00Z	5	3	5	5	4	4	5	4	4	NETWORKING	PC	COLL	2	5	5	5	5	4	5	5
S005	Android	2	Wednesday	2	work	2018-12-05T10:34:27Z	2018-12-05T10:36:37Z	5	3	4	5	4	3	4	4	4	ACQUISITION	PC	ALONE	0	6	5	5	5	3	5	4
S005	Android	2	Wednesday	3	work	2018-12-05T12:04:26Z	2018-12-05T12:12:05Z	5	2	5	4	4	3	4	5	3	DISSEMINATION	FACE2FACE	COLL	2	5	5	4	5	4	5	4
S005	Android	2	Wednesday	6	work	2018-12-05T16:39:26Z	2018-12-05T16:51:01Z	4	4	4	4	3	5	2	6	3	DISSEMINATION	FACE2FACE	CUSTOMER	80	4	4	2	5	1	4	5
S005	Android	2	Wednesday	7	work	2018-12-05T18:04:26Z	2018-12-05T18:07:32Z	5	4	5	3	4	4	4	6	5	BREAK,NETWORKING	PC	ALONE	0	5	5	5	5	6	7	5
S005	Android	3	Friday	3	work	2018-12-07T11:59:09Z	2018-12-07T12:09:01Z	4	5	4	5	4	4	4	4	4	ACQUISITION	PC	ALONE	0	5	5	5	5	3	6	5
S005	Android	3	Friday	4	work	2018-12-07T13:23:30Z	2018-12-07T13:38:00Z	5	3	5	4	4	5	4	5	4	NETWORKING	PC	COLL	0	5	3	4	5	4	6	4
S005	Android	3	Friday	6	work	2018-12-07T16:26:50Z	2018-12-07T16:46:19Z	5	5	5	3	5	5	4	5	4	ACQUISITION	PC	ALONE	0	5	4	4	5	5	5	4
S006	Android	1	Monday	1	baseline	2018-12-03T09:15:00Z	2018-12-03T09:22:30Z	6	3	6	4	4	4	7	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S006	Android	1	Monday	3	work	2018-12-03T11:55:34Z	2018-12-03T11:58:34Z	4	4	4	5	4	4	3	3	3	ACQUISITION	PC	ALONE	0	6	5	4	5	1	2	2
S006	Android	1	Monday	4	work	2018-12-03T13:29:15Z	2018-12-03T13:32:16Z	3	4	4	5	4	4	5	4	4	ACQUISITION	PC	ALONE	0	5	4	2	4	2	1	2
