id	date	time_prompt	survey_taken	time_survey	day	beep	counter	number_days_total	prompt_id	fraction_of_days_with_notification	prompt_duration	phone_use	social_media_use	social_media_use_no_notification	reactibility_survey	reactibility_notification_avg	reactibility_notification_sd	reactibility_social_notification_avg	reactibility_social_notification_sd	awake	discontent	calm	without_energy	well	tense	happy	stressed	vigilance_salience_mediated	salience_ft_f	valence_mediated	valence_ft_f	valence_activity	concentrated_activity_binary	concentration_extent	concentrated_activity_alone	vigilance_reactibility	vigilance_monitoring	social_pressure_phone	scheduled_time
8	2018-03-14	2018-03-14T09:36:00Z	1	2018-03-13T23:00:00Z	3	6	21	5	1510250000000	0.4	64	549	118	110	18	131	0	90.333333	61.753992	6	2	6	3	5	2	5	1	1	1	4	4	6	0	2	-	1	1	1	2018-03-14T09:36:00Z
8	2018-03-14	2018-03-14T08:39:00Z	0	2018-03-13T23:00:00Z	3	7	22	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-14T08:39:00Z
8	2018-03-13	2018-03-13T19:43:00Z	1	2018-03-12T23:00:00Z	2	1	23	5	1510250000000	0.4	54	1107	755	47	3	18.6875	21.560145	49.75	50.33016	2	5	3	6	2	6	3	6	7	6	1	1	1	0	-	1	7	7	7	2018-03-13T19:43:00Z
8	2018-03-13	2018-03-13T18:15:00Z	0	2018-03-12T23:00:00Z	2	2	24	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-13T18:15:00Z
8	2018-03-13	2018-03-13T15:44:00Z	1	2018-03-12T23:00:00Z	2	3	25	5	1510250000000	0.4	89	1083	143	143	5	NA	NA	NA	NA	1	4	6	6	3	3	4	3	6	3	2	4	5	0	-	1	4	5	3	2018-03-13T15:44:00Z
8	2018-03-13	2018-03-13T14:19:00Z	0	2018-03-12T23:00:00Z	2	4	26	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-13T14:19:00Z
8	2018-03-13	2018-03-13T11:25:00Z	0	2018-03-12T23:00:00Z	2	5	27	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-13T11:25:00Z
8	2018-03-13	2018-03-13T10:02:00Z	0	2018-03-12T23:00:00Z	2	6	28	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-13T10:02:00Z
8	2018-03-13	2018-03-13T08:13:00Z	1	2018-03-12T23:00:00Z	2	7	29	5	1510250000000	0.4	68	206	154	154	31	NA	NA	NA	NA	3	4	6	5	3	3	4	4	6	5	3	4	4	0	4	-	4	4	3	2018-03-13T08:13:00Z
8	2018-03-12	2018-03-12T19:52:00Z	1	2018-03-11T23:00:00Z	1	1	30	5	1510250000000	0.4	95	139	0	0	109	NA	NA	NA	NA	5	3	6	3	6	2	5	2	3	5	5	5	5	0	-	1	2	1	3	2018-03-12T19:52:00Z
8	2018-03-12	2018-03-12T17:42:00Z	0	2018-03-11T23:00:00Z	1	2	31	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-12T17:42:00Z
