id	no_meas	age	sex	pa	na	swls	pow	ach	aff	int	fear
72	81	25	1	5	1	3.8	3.6667	4.6667	3.8318	5.3333	2.6667
73	73	26	1	4.6	3	5.4	2.6667	2.6667	3.6798	4.3333	4
74	82	19	1	3.8	3	5.4	2	5	3.8825	4.6667	5.3333
75	81	21	1	2.6	4	4.6	3.3333	4.6667	3.3762	5.3333	4.3333
76	75	19	1	3	4.5	3.6	2.3333	4.3333	3.5069	5.6667	5.3333
77	80	29	0	4.4	2	5.2	5	3.6667	3.4845	5.3333	2.6667
78	68	20	1	4.2	4	3.6	2.6667	3.6667	4.1408	5	5.6667
79	82	20	1	5.6	2.5	6.4	2.3333	3.6667	4.3275	4.6667	2
80	79	21	1	2.2	3	2.8	3	3.3333	2.5175	4	4.3333
81	78	26	1	3	4.5	3.4	4.3333	3.3333	3.3206	6	4.6667
82	82	27	1	4	1.5	3.2	2	4	3.4766	4.6667	3
83	82	27	1	4.2	2.5	4.4	2.3333	5.3333	3.2471	6	5.6667
84	80	28	1	4.6	3.5	6	2.3333	5	3.9897	5	4.3333
85	82	21	1	4	4.5	4.2	2.3333	4	3.863	2.6667	3.6667
