id	day	beep	counter	ema_time	helping_binary	helping_effort	stressed	valence_mood	calmness_mood	energy_mood	freetime	social_binary	weekday
86a8bf5a	1	1	1	10.45	0	NA	51	44.5	48.5	50	0	0	Sunday
86a8bf5a	1	2	2	12.626111111111111	0	NA	87	31.5	18.5	30	0	0	Sunday
86a8bf5a	1	3	3	14.2975	0	NA	88	24.5	13	21.5	1	1	Sunday
86a8bf5a	1	4	4	19.52027777777778	0	NA	77	63	42	28	0	1	Sunday
86a8bf5a	1	5	5	23.23416666666667	0	NA	83	40.5	37	32.5	1	0	Sunday
86a8bf5a	2	1	6	10.459722222222222	0	NA	73	38	25.5	35.5	0	0	Monday
86a8bf5a	2	2	7	11.803888888888888	0	NA	72	67.5	57.5	48.5	0	0	Monday
86a8bf5a	2	3	8	16.77138888888889	NA	NA	NA	NA	NA	NA	NA	NA	Monday
86a8bf5a	2	4	9	19.458333333333336	0	NA	68	45	33.5	54	1	1	Monday
86a8bf5a	2	5	10	22.500277777777782	NA	NA	NA	NA	NA	NA	NA	NA	NA
86a8bf5a	3	1	11	10.500277777777779	NA	NA	NA	NA	NA	NA	NA	NA	NA
86a8bf5a	3	2	12	12.500277777777779	NA	NA	NA	NA	NA	NA	NA	NA	NA
86a8bf5a	3	3	13	14.743333333333332	NA	NA	NA	NA	NA	NA	NA	NA	Tuesday
86a8bf5a	3	4	14	17.3425	0	NA	58	57	53.5	42	0	1	Tuesday
86a8bf5a	3	5	15	23.18555555555556	0	NA	75	38.5	40	20.5	1	0	Tuesday
86a8bf5a	4	1	16	10.960555555555555	0	NA	70	63.5	51	54	0	0	Wednesday
86a8bf5a	4	2	17	13.261666666666667	0	NA	86	23	18.5	39	0	1	Wednesday
86a8bf5a	4	3	18	15.467777777777778	0	NA	70	31	32.5	31.5	0	1	Wednesday
86a8bf5a	4	4	19	19.123055555555556	0	NA	90	7.5	9.5	28.5	0	0	Wednesday
86a8bf5a	4	5	20	23.47638888888889	0	NA	76	38.5	31.5	30	1	0	Wednesday
86a8bf5a	5	1	21	10.94111111111111	0	NA	64	50.5	51	54	0	0	Thursday
86a8bf5a	5	2	22	12.53111111111111	0	NA	62	53	48.5	44.5	0	0	Thursday
86a8bf5a	5	3	23	16.215833333333332	0	NA	62	54	47.5	50.5	1	1	Thursday
86a8bf5a	5	4	24	18.37638888888889	0	NA	61	59	49	42.5	1	1	Thursday
86a8bf5a	5	5	25	23.491944444444442	0	NA	75	44.5	42.5	37	1	0	Thursday
86a8bf5a	6	1	26	10.836388888888889	0	NA	70	58	55	55	0	1	Friday
86a8bf5a	6	2	27	11.13111111111111	0	NA	66	51	46	44.5	0	0	Friday
86a8bf5a	6	3	28	16.220277777777778	0	NA	73	40	48.5	30	0	1	Friday
86a8bf5a	6	4	29	19.005833333333335	0	NA	65	50	44.5	34.5	1	0	Friday
86a8bf5a	6	5	30	23.18416666666667	0	NA	52	62	58.5	31.5	1	0	Friday
86a8bf5a	7	1	31	10.815277777777778	NA	NA	NA	NA	NA	NA	NA	NA	Saturday
86a8bf5a	7	2	32	12.314722222222223	0	NA	57	60	48.5	37.5	1	1	Saturday
86a8bf5a	7	3	33	15.636111111111111	NA	NA	NA	NA	NA	NA	NA	NA	Saturday
86a8bf5a	7	4	34	18.274166666666666	0	NA	48	66.5	49.5	43	1	1	Saturday
86a8bf5a	7	5	35	22.930277777777782	0	NA	61	54	57	31	1	0	Saturday
f6c24bd5	1	1	1	10.015833333333333	1	45	7	88	88	89	1	1	Sunday
f6c24bd5	1	2	2	11.55638888888889	0	NA	9	88.5	85.5	78.5	0	0	Sunday
f6c24bd5	1	3	3	16.345277777777778	1	60	39	78	70	62.5	0	0	Sunday
f6c24bd5	1	4	4	18.20638888888889	0	NA	31	70.5	80	25.5	0	1	Sunday
f6c24bd5	1	5	5	22.500277777777782	NA	NA	NA	NA	NA	NA	NA	NA	NA
f6c24bd5	2	1	6	10.68	0	NA	82	63	46.5	62.5	0	1	Monday
f6c24bd5	2	2	7	11.956944444444444	0	NA	67	27.5	30	49.5	0	1	Monday
f6c24bd5	2	3	8	15.68611111111111	1	69	17	61	67.5	59.5	0	1	Monday
f6c24bd5	2	4	9	18.046666666666667	0	NA	18	66	79.5	50.5	1	0	Monday
f6c24bd5	2	5	10	22.500277777777782	NA	NA	NA	NA	NA	NA	NA	NA	NA
f6c24bd5	3	1	11	10.401388888888889	1	64	60	63	48.5	70.5	0	1	Tuesday
f6c24bd5	3	2	12	12.903611111111111	1	22	32	67.5	67	68	0	1	Tuesday
f6c24bd5	3	3	13	16.741944444444442	0	NA	13	62.5	70.5	52	0	1	Tuesday
f6c24bd5	3	4	14	19.70111111111111	0	NA	6	79	80	7	0	0	Tuesday
f6c24bd5	3	5	15	22.500277777777782	NA	NA	NA	NA	NA	NA	NA	NA	NA
f6c24bd5	4	1	16	10.573611111111111	1	54	46	51	35.5	61.5	0	1	Wednesday
