id	extraversion	neuroticism
125	-1.676715883	1.095962137
126	-1.007174046	-7.61e-10
130	0.465817995	-0.353536173
136	0.376545751	-0.035353617
138	-0.828629556	1.060608519
139	-1.855260371	0.671718729
140	-0.694721188	1.590912779
142	-0.962537923	0.247475321
143	-1.007174046	0.919194051
144	2.742260241	-0.671718729
145	0.688998609	-0.070707235
146	0.912179221	0.636365111
147	0.688998609	-1.378791077
148	-1.230354658	-0.388889791
149	1.2692682	1.696973631
151	0.376545751	-0.530304261
152	-0.426904453	-0.883840433
153	0.867543097	-1.095962137
154	1.849537793	1.166669371
156	0.421181875	0.070707235
157	0.421181875	-0.141414469
159	1.224632079	-0.388889791
160	1.626357181	-1.095962137
161	0.644362486	-1.873741719
162	-0.203723842	0.565657877
163	-1.09644629	2.404045979
165	1.358540446	-0.424243409
166	-0.426904453	1.343437459
169	-0.783993432	-1.308083841
170	-0.248359963	1.414144693
171	-0.739357311	1.873741719
172	-0.203723842	-0.141414469
173	2.51907963	-1.661620015
174	-1.765988127	1.555559163
175	-0.783993432	1.131315755
176	-0.248359963	1.272730223
177	-0.739357311	-0.141414469
178	-0.739357311	-0.954547669
179	0.465817995	-0.424243409
181	-0.650085065	-1.944448953
182	0.599726363	-0.813133199
183	0.555090242	0.106060851
184	0.465817995	-0.565657877
185	-0.292996086	0.530304259
186	-1.09644629	1.979802571
187	-1.364263025	-0.212121705
188	-0.292996086	0.070707235
189	1.046087588	0.141414469
190	-0.516176697	0.035353617
192	-0.873265679	-7.61e-10
193	0.465817995	0.035353617
194	0.064092893	-0.601011495
195	2.251262895	-0.954547669
196	-0.694721188	0.989901285
197	0.242637384	0.883840433
198	0.465817995	-0.989901285
199	-0.426904453	-0.353536173
200	0.15336514	-1.520205545
201	1.313904323	-1.484851929
204	-0.114451595	-0.954547669
205	-1.364263025	0.777779581
206	-0.694721188	0.636365111
207	2.028082283	-2.015156189
208	0.867543097	-0.247475321
209	-0.873265679	0.883840433
210	-1.09644629	-0.282828939
212	0.778270853	-0.707072347
213	-0.739357311	0.883840433
214	0.287273507	-0.388889791
215	0.064092893	-0.282828939
216	0.242637384	-0.848486817
217	-0.426904453	-1.414144693
218	-1.007174046	0.459597025
219	-0.9179018	0.494950643
221	0.599726363	-1.060608521
222	-0.828629556	0.777779581
223	0.465817995	0.813133199
225	0.064092893	0.388889791
