id	angry	depressed	sad	anxious	relaxed	happy	day	beep
6	2	10	6	2	79	61	NA	NA
6	1	4	1	2	82	63	NA	NA
6	1	1	5	12	53	60	NA	NA
6	1	2	1	4	51	60	NA	NA
6	8	1	1	7	64	61	NA	NA
6	5	4	5	2	67	4	NA	NA
6	2	1	1	1	82	86	NA	NA
6	1	1	2	1	73	61	NA	NA
6	4	3	5	1	81	59	NA	NA
6	1	1	1	9	70	60	NA	NA
6	1	5	4	4	69	61	NA	NA
6	4	2	1	2	59	55	NA	NA
6	1	5	1	7	82	65	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA
6	1	1	1	1	41	68	NA	NA
6	1	1	1	4	65	54	NA	NA
6	1	1	1	25	61	64	NA	NA
6	9	1	4	3	59	48	NA	NA
6	1	1	1	1	59	57	NA	NA
6	3	1	1	2	57	45	NA	NA
6	1	1	1	1	65	73	NA	NA
6	1	1	1	1	61	42	NA	NA
6	1	1	1	1	52	40	NA	NA
6	1	1	1	3	60	30	NA	NA
6	3	1	1	1	59	47	NA	NA
6	5	2	1	1	67	38	NA	NA
6	6	5	7	6	56	55	NA	NA
6	11	4	1	1	63	57	NA	NA
6	4	1	3	6	75	42	NA	NA
6	1	1	1	1	61	6	NA	NA
6	1	1	12	14	36	51	NA	NA
6	1	10	9	5	59	56	NA	NA
6	1	2	1	15	50	50	NA	NA
6	5	4	2	2	46	54	NA	NA
6	6	3	1	4	60	50	NA	NA
6	7	1	2	5	11	12	NA	NA
6	65	50	1	11	19	7	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA
8	9	14	12	14	33	51	NA	NA
8	10	10	12	5	32	48	NA	NA
8	8	5	5	5	69	39	NA	NA
8	8	1	3	5	54	59	NA	NA
8	6	6	5	9	84	86	NA	NA
8	6	4	6	8	18	44	NA	NA
8	6	11	5	10	53	77	NA	NA
8	9	12	7	11	12	54	NA	NA
8	7	6	7	7	79	89	NA	NA
8	7	2	5	5	41	82	NA	NA
8	4	6	7	8	54	51	NA	NA
8	5	3	4	3	77	81	NA	NA
8	6	5	4	5	42	88	NA	NA
8	6	4	1	6	47	81	NA	NA
8	4	1	1	1	67	82	NA	NA
8	1	1	28	3	75	45	NA	NA
8	1	1	1	5	70	86	NA	NA
8	39	35	50	8	20	61	NA	NA
8	1	1	1	1	41	44	NA	NA
8	1	1	1	1	77	92	NA	NA
8	1	1	1	1	100	93	NA	NA
8	1	1	1	1	75	53	NA	NA
8	1	1	1	1	68	78	NA	NA
8	1	1	1	2	87	87	NA	NA
8	1	1	1	1	82	91	NA	NA
8	1	1	21	1	62	40	NA	NA
8	4	1	1	1	80	100	NA	NA
8	3	1	2	1	59	84	NA	NA
8	1	1	5	1	80	82	NA	NA
8	1	1	1	1	79	85	NA	NA
8	15	1	1	1	59	86	NA	NA
8	32	1	1	1	26	85	NA	NA
8	1	1	1	1	68	100	NA	NA
8	1	5	1	1	80	59	NA	NA
8	1	1	1	1	80	79	NA	NA
8	1	1	9	1	73	59	NA	NA
8	5	1	1	1	60	40	NA	NA
8	1	1	23	1	78	42	NA	NA
8	1	20	19	1	78	53	NA	NA
8	1	2	56	4	77	47	NA	NA
8	1	1	42	1	64	45	NA	NA
8	1	23	59	1	77	41	NA	NA
8	1	1	1	1	61	75	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA
8	1	1	1	1	88	69	NA	NA
8	1	1	25	52	26	50	NA	NA
8	1	1	1	1	100	89	NA	NA
8	1	1	1	1	75	86	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA
8	1	1	1	1	77	77	NA	NA
8	1	1	1	1	80	88	NA	NA
8	1	1	1	1	81	92	NA	NA
8	1	1	1	1	76	80	NA	NA
8	1	1	1	1	100	81	NA	NA
8	1	1	1	1	81	84	NA	NA
8	1	1	7	1	80	43	NA	NA
8	1	1	22	1	77	57	NA	NA
8	4	1	26	1	80	71	NA	NA
8	1	1	1	1	89	82	NA	NA
8	2	1	2	1	89	82	NA	NA
8	1	1	1	1	79	81	NA	NA
8	1	1	1	1	88	100	NA	NA
8	1	1	1	1	80	80	NA	NA
8	1	1	1	1	80	78	NA	NA
8	1	1	23	1	89	60	NA	NA
8	1	1	14	1	92	59	NA	NA
9	6	11	1	7	82	92	NA	NA
9	1	20	8	10	68	70	NA	NA
9	1	10	12	1	88	77	NA	NA
9	13	19	6	13	14	79	NA	NA
9	1	1	30	1	94	71	NA	NA
9	1	1	1	1	69	87	NA	NA
9	1	33	5	8	39	87	NA	NA
9	1	1	1	8	86	52	NA	NA
9	1	1	1	1	100	79	NA	NA
9	1	2	1	1	66	71	NA	NA
9	1	62	84	60	1	1	NA	NA
9	1	1	35	1	100	49	NA	NA
9	1	13	20	1	84	61	NA	NA
9	1	1	28	1	75	53	NA	NA
9	8	1	20	1	88	68	NA	NA
9	14	9	10	4	76	75	NA	NA
9	3	1	16	4	77	66	NA	NA
9	5	1	16	1	55	63	NA	NA
9	5	3	1	2	84	69	NA	NA
9	1	6	3	1	85	76	NA	NA
9	17	1	12	1	73	61	NA	NA
9	1	1	9	1	49	50	NA	NA
9	1	1	46	1	53	45	NA	NA
9	1	4	1	1	69	48	NA	NA
9	1	1	10	1	75	69	NA	NA
9	1	1	1	1	93	68	NA	NA
9	1	13	18	1	68	60	NA	NA
9	1	1	1	1	73	56	NA	NA
9	1	1	1	1	76	73	NA	NA
9	1	1	1	4	68	80	NA	NA
9	1	1	24	1	69	74	NA	NA
9	53	51	49	6	54	35	NA	NA
9	1	1	1	1	89	91	NA	NA
9	1	1	1	1	77	100	NA	NA
9	1	1	1	5	83	87	NA	NA
9	1	1	17	1	81	73	NA	NA
9	1	1	3	1	90	89	NA	NA
9	1	6	1	1	83	84	NA	NA
9	8	7	16	9	73	50	NA	NA
9	1	1	1	1	67	79	NA	NA
9	8	9	11	5	79	94	NA	NA
9	1	1	1	100	92	100	NA	NA
9	1	1	1	1	79	100	NA	NA
9	1	6	1	6	96	72	NA	NA
9	5	1	1	4	99	86	NA	NA
9	1	1	1	1	66	100	NA	NA
9	10	1	1	1	26	28	NA	NA
9	5	7	1	6	93	69	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA
9	1	1	1	3	63	100	NA	NA
9	1	1	1	1	76	100	NA	NA
9	7	1	1	5	97	96	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA
9	14	4	1	1	100	100	NA	NA
9	3	1	1	4	100	96	NA	NA
9	6	1	5	3	100	97	NA	NA
9	26	1	26	1	60	65	NA	NA
9	22	3	9	1	62	84	NA	NA
9	50	15	12	10	49	64	NA	NA
9	20	7	87	12	74	78	NA	NA
9	9	5	4	14	54	80	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA
9	1	1	1	16	90	77	NA	NA
9	46	11	2	16	49	86	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA
9	32	1	1	39	60	59	NA	NA
10	1	1	1	1	80	83	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	1	1	1	80	80	NA	NA
10	1	1	1	1	100	98	NA	NA
10	1	1	1	1	100	100	NA	NA
10	1	1	1	1	69	82	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	1	1	1	100	1	NA	NA
10	6	1	4	1	82	96	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	4	1	1	100	96	NA	NA
10	1	6	9	5	96	94	NA	NA
10	1	1	1	1	64	100	NA	NA
10	30	1	4	1	41	49	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	25	1	1	1	74	70	NA	NA
10	1	7	1	4	100	100	NA	NA
10	NA	1	NA	NA	61	NA	NA	NA
10	1	4	1	1	70	75	NA	NA
10	19	5	1	1	52	55	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	1	1	1	96	96	NA	NA
10	1	1	1	1	100	100	NA	NA
10	1	2	1	1	78	73	NA	NA
10	4	1	1	1	80	79	NA	NA
10	4	1	1	6	66	91	NA	NA
10	5	1	7	5	95	82	NA	NA
10	1	2	1	5	87	72	NA	NA
10	15	4	1	1	60	70	NA	NA
10	1	4	1	1	77	68	NA	NA
10	1	1	1	1	83	80	NA	NA
10	1	1	1	1	78	98	NA	NA
10	1	1	1	1	85	100	NA	NA
10	5	5	1	1	84	95	NA	NA
10	1	5	1	5	87	89	NA	NA
10	13	14	6	8	77	83	NA	NA
10	23	1	5	1	56	64	NA	NA
10	36	1	1	3	36	37	NA	NA
10	1	1	5	1	72	77	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	4	1	1	73	100	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	1	1	1	82	58	NA	NA
10	8	33	22	6	82	68	NA	NA
10	1	1	1	5	59	53	NA	NA
10	5	1	4	5	85	85	NA	NA
10	1	1	1	2	77	100	NA	NA
10	23	1	1	1	64	73	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	1	1	1	1	88	86	NA	NA
10	1	3	1	1	80	73	NA	NA
10	10	8	1	4	89	79	NA	NA
10	1	4	1	1	91	82	NA	NA
10	1	5	1	9	77	88	NA	NA
10	1	1	1	1	96	100	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	16	1	1	1	86	85	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA
10	22	75	38	2	85	66	NA	NA
10	8	2	1	1	95	91	NA	NA
12	1	17	55	5	60	49	NA	NA
12	NA	NA	NA	NA	NA	NA	NA	NA
12	20	26	21	7	75	68	NA	NA
12	75	14	24	55	77	84	NA	NA
12	17	11	19	15	69	74	NA	NA
12	40	69	42	68	50	75	NA	NA
12	16	1	12	6	63	73	NA	NA
12	NA	NA	NA	NA	NA	NA	NA	NA
12	7	9	3	10	58	71	NA	NA
12	7	6	25	7	52	46	NA	NA
12	5	3	5	5	45	64	NA	NA
12	14	20	17	12	75	71	NA	NA
12	9	47	26	23	72	73	NA	NA
12	9	16	11	18	70	61	NA	NA
12	1	15	22	1	78	56	NA	NA
12	11	12	18	10	57	62	NA	NA
12	17	50	24	3	33	59	NA	NA
12	12	16	18	15	37	71	NA	NA
12	54	55	3	14	75	50	NA	NA
12	49	75	64	69	42	48	NA	NA
12	12	8	13	10	48	47	NA	NA
12	12	8	11	50	66	56	NA	NA
12	5	33	7	4	50	52	NA	NA
12	50	25	20	9	47	64	NA	NA
12	12	8	11	5	50	61	NA	NA
12	11	23	21	33	58	62	NA	NA
12	6	43	7	8	57	66	NA	NA
12	12	5	10	11	52	68	NA	NA
12	20	16	33	15	50	34	NA	NA
12	14	15	23	15	28	42	NA	NA
12	12	18	8	11	71	47	NA	NA
12	46	12	1	12	10	51	NA	NA
12	12	51	5	12	51	41	NA	NA
12	12	16	7	5	67	63	NA	NA
12	7	6	3	8	73	55	NA	NA
12	18	10	5	7	50	30	NA	NA
12	12	6	7	4	50	50	NA	NA
12	13	11	11	7	19	59	NA	NA
12	NA	NA	NA	NA	NA	NA	NA	NA
12	14	13	13	15	62	5	NA	NA
12	11	12	7	6	69	68	NA	NA
12	40	26	51	43	43	42	NA	NA
12	29	6	9	10	63	68	NA	NA
12	12	18	9	18	69	69	NA	NA
12	27	89	12	5	57	81	NA	NA
12	21	12	13	43	71	69	NA	NA
12	9	18	9	9	50	69	NA	NA
12	14	53	8	11	75	14	NA	NA
12	14	19	4	15	54	59	NA	NA
12	14	14	19	1	68	66	NA	NA
12	25	12	5	26	61	63	NA	NA
12	15	13	7	11	52	28	NA	NA
12	9	45	6	8	49	63	NA	NA
12	10	23	50	8	77	67	NA	NA
12	27	10	11	5	72	56	NA	NA
12	19	12	12	9	60	64	NA	NA
12	11	18	17	18	63	50	NA	NA
12	34	49	42	38	39	45	NA	NA
12	19	12	21	8	69	9	NA	NA
12	7	14	14	14	68	51	NA	NA
12	NA	NA	NA	NA	NA	NA	NA	NA
12	16	14	19	14	73	66	NA	NA
12	14	18	15	59	74	83	NA	NA
12	9	26	6	18	60	32	NA	NA
12	13	12	22	28	78	73	NA	NA
13	1	1	1	14	67	71	NA	NA
13	13	1	1	1	100	83	NA	NA
13	1	1	1	1	70	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	75	76	30	26	NA	NA
13	1	1	1	1	71	60	NA	NA
13	1	1	1	1	62	32	NA	NA
13	1	1	1	1	77	74	NA	NA
13	1	1	1	1	42	64	NA	NA
13	1	1	1	1	72	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	1	100	NA	NA
13	1	1	1	1	77	100	NA	NA
13	2	1	1	1	70	100	NA	NA
13	1	1	1	1	79	92	NA	NA
13	1	1	1	1	72	77	NA	NA
13	1	1	1	1	90	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	83	100	NA	NA
13	1	1	1	1	89	78	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	73	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	60	1	1	1	69	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	38	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	68	72	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	75	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	NA	NA	NA	NA	NA	NA	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	76	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
13	1	1	1	1	100	100	NA	NA
20	11	12	19	19	36	48	NA	NA
20	37	8	14	33	30	76	NA	NA
20	19	16	14	21	49	66	NA	NA
20	13	11	16	19	68	80	NA	NA
20	38	27	36	23	39	48	NA	NA
20	5	5	10	23	59	58	NA	NA
20	3	6	1	8	53	85	NA	NA
20	15	14	7	11	74	72	NA	NA
20	42	19	24	33	18	34	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	8	6	3	33	80	75	NA	NA
20	38	7	14	42	82	55	NA	NA
20	6	7	2	13	34	95	NA	NA
20	5	3	5	16	24	89	NA	NA
20	10	7	13	7	58	95	NA	NA
20	6	7	5	19	47	100	NA	NA
20	8	9	6	7	85	75	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	33	10	5	12	82	75	NA	NA
20	7	6	12	5	88	92	NA	NA
20	22	14	13	26	13	59	NA	NA
20	24	11	26	17	39	52	NA	NA
20	34	15	10	29	32	50	NA	NA
20	14	18	20	20	23	71	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	12	5	20	10	74	54	NA	NA
20	2	9	8	13	81	59	NA	NA
20	6	5	14	12	62	47	NA	NA
20	21	11	20	31	23	34	NA	NA
20	20	6	20	16	53	51	NA	NA
20	10	5	17	11	74	57	NA	NA
20	15	12	14	19	79	58	NA	NA
20	6	4	7	23	68	50	NA	NA
20	13	11	25	25	70	68	NA	NA
20	7	5	7	21	81	61	NA	NA
20	19	11	15	25	70	62	NA	NA
20	14	5	19	17	68	63	NA	NA
20	12	9	13	22	57	72	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	26	4	12	22	40	67	NA	NA
20	28	26	16	26	32	30	NA	NA
20	11	9	26	26	32	54	NA	NA
20	10	5	18	23	46	57	NA	NA
20	11	8	15	12	45	67	NA	NA
20	15	4	12	26	49	65	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	17	12	31	15	61	64	NA	NA
20	35	21	16	20	71	63	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	16	6	14	29	70	78	NA	NA
20	29	30	23	26	36	41	NA	NA
20	12	26	59	12	32	18	NA	NA
20	11	14	15	10	55	54	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	70	43	36	31	25	14	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	49	43	58	27	17	17	NA	NA
20	55	55	64	38	14	20	NA	NA
20	25	26	32	12	22	26	NA	NA
20	33	22	22	21	53	68	NA	NA
20	25	20	26	25	45	54	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
20	54	52	45	13	25	20	NA	NA
20	24	42	48	19	41	31	NA	NA
20	78	28	38	17	21	37	NA	NA
20	19	31	27	15	50	52	NA	NA
23	60	59	64	53	23	24	NA	NA
23	5	13	14	19	72	65	NA	NA
23	5	8	21	26	67	53	NA	NA
23	22	1	1	13	76	1	NA	NA
23	2	1	4	21	62	59	NA	NA
23	11	43	24	58	70	55	NA	NA
23	NA	NA	NA	9	NA	NA	NA	NA
23	5	42	54	59	61	59	NA	NA
23	8	17	32	54	40	51	NA	NA
23	10	27	19	50	60	42	NA	NA
23	12	28	9	45	58	48	NA	NA
23	57	29	61	63	24	50	NA	NA
23	44	9	16	69	8	24	NA	NA
23	16	67	58	56	17	23	NA	NA
23	29	17	9	61	21	55	NA	NA
23	NA	NA	NA	NA	NA	NA	NA	NA
23	6	11	18	3	79	66	NA	NA
23	5	20	7	22	59	71	NA	NA
23	9	11	43	44	70	50	NA	NA
23	52	67	60	62	68	21	NA	NA
23	16	50	11	61	31	42	NA	NA
23	18	16	23	50	18	31	NA	NA
23	1	3	16	9	76	68	NA	NA
23	7	19	25	23	76	59	NA	NA
23	5	14	8	9	78	62	NA	NA
23	8	12	8	1	59	55	NA	NA
23	7	8	9	50	61	58	NA	NA
