id	gender
261	1
260	1
135	1
270	1
266	1
251	0
106	1
249	1
291	0
235	1
186	1
119	1
224	1
182	1
279	1
111	1
168	1
298	0
166	1
171	1
138	1
283	1
284	1
225	1
143	1
197	1
306	1
123	1
214	1
132	1
297	1
228	0
267	1
248	0
217	0
320	1
113	1
120	0
262	1
258	1
271	1
229	1
115	1
102	1
222	1
121	1
315	1
125	1
145	1
155	1
252	0
273	1
129	1
104	1
183	1
116	1
200	0
282	1
188	0
172	1
161	1
280	1
309	0
218	1
324	1
277	1
180	1
323	1
181	0
319	1
156	1
247	0
199	1
157	1
201	0
170	1
219	1
292	1
174	1
101	1
301	0
241	1
245	1
289	1
325	0
202	1
286	1
278	1
211	1
167	1
313	1
105	1
139	1
159	1
250	0
164	1
160	1
243	1
206	0
314	0
246	1
114	1
169	1
198	1
195	0
216	1
193	1
321	1
185	1
126	1
191	0
236	1
307	1
303	1
290	1
103	0
178	1
312	0
192	1
177	1
230	1
158	0
274	1
310	1
296	1
176	1
264	1
220	1
305	1
189	1
153	0
263	1
293	1
118	1
257	1
231	0
109	1
150	0
130	1
232	1
221	1
288	1
175	1
239	0
272	0
304	1
234	1
128	1
210	1
140	1
213	1
152	1
295	1
255	1
194	1
203	0
244	1
240	1
215	1
223	1
318	1
149	1
265	1
122	0
259	0
316	1
322	1
184	1
227	1
317	1
212	0
147	1
148	1
112	1
136	1
163	1
253	1
165	1
256	0
233	1
110	1
275	1
131	1
254	0
207	1
268	1
108	1
146	0
187	1
190	1
144	0
151	1
137	1
142	1
302	0
281	1
238	0
162	1
269	1
107	1
287	1
134	1
124	1
285	1
308	1
208	1
242	1
141	1
173	1
209	1
205	1
154	1
311	1
276	1
133	1
196	1
179	0
226	1
299	1
237	1
127	1
300	0
117	1
294	1
204	1
