id	timestamp	extraversion	agreeableness	conscientiousness	emotional_stability	openness	date	day	beep
539	1331127517	4.5	3	5.5	6.5	4	2012-03-07T13:38:37Z	38	NA
539	1331205834	4	7	3	6	4	2012-03-08T11:23:54Z	39	NA
539	1331212910	4	5.5	3	6.5	4	2012-03-08T13:21:50Z	39	NA
539	1331224450	2	6.5	6	6.5	4	2012-03-08T16:34:10Z	39	NA
539	1331289475	2	6	6.5	6	5.5	2012-03-09T10:37:55Z	40	NA
539	1331304514	3.5	4	5.5	6	4	2012-03-09T14:48:34Z	40	NA
539	1331310532	2.5	5	6.5	6.5	5	2012-03-09T16:28:52Z	40	NA
533	1328004048	4	4.5	6	5.5	4.5	2012-01-31T10:00:48Z	1	NA
533	1328016320	4	5.5	4	5.5	5	2012-01-31T13:25:20Z	1	NA
533	1328026096	3.5	5.5	4	6	5.5	2012-01-31T16:08:16Z	1	NA
533	1328090978	3.5	6	6.5	6	5	2012-02-01T10:09:38Z	2	NA
533	1328102920	4	5	6	6	5	2012-02-01T13:28:40Z	2	NA
533	1328112861	3	5	5.5	5.5	4.5	2012-02-01T16:14:21Z	2	NA
533	1328188193	4.5	5.5	5.5	6	3.5	2012-02-02T13:09:53Z	3	NA
533	1328202523	2.5	5	5.5	5	4	2012-02-02T17:08:43Z	3	NA
533	1328276240	4	5	6.5	6	5.5	2012-02-03T13:37:20Z	4	NA
533	1328286761	4	5.5	6	6	5.5	2012-02-03T16:32:41Z	4	NA
533	1328608954	4	4	4	4	4	2012-02-07T10:02:34Z	8	NA
533	1328620956	4	5	5	4.5	4	2012-02-07T13:22:36Z	8	NA
533	1328630436	3	5	5	5	5	2012-02-07T16:00:36Z	8	NA
533	1328695479	3.5	5	4.5	5.5	3.5	2012-02-08T10:04:39Z	9	NA
533	1328717399	4	4.5	5.5	4.5	5	2012-02-08T16:09:59Z	9	NA
533	1328793640	4	5	5	6	4.5	2012-02-09T13:20:40Z	10	NA
533	1328804299	3.5	4.5	4	5	4	2012-02-09T16:18:19Z	10	NA
533	1328869107	3.5	5	5.5	5	4	2012-02-10T10:18:27Z	11	NA
533	1328878927	4	4	4.5	4	4	2012-02-10T13:02:07Z	11	NA
533	1329128346	3.5	5	5	5	4	2012-02-13T10:19:06Z	14	NA
533	1329141050	2.5	4.5	5	5	5	2012-02-13T13:50:50Z	14	NA
533	1329151730	2.5	3.5	5.5	5.5	5.5	2012-02-13T16:48:50Z	14	NA
533	1329217285	3.5	5	5.5	6	5.5	2012-02-14T11:01:25Z	15	NA
533	1329224584	3.5	5	4.5	5	4	2012-02-14T13:03:04Z	15	NA
533	1329237207	4	5	5.5	5	4.5	2012-02-14T16:33:27Z	15	NA
533	1329302536	3	5	4.5	5	4.5	2012-02-15T10:42:16Z	16	NA
533	1329317050	4	4.5	5	5	4	2012-02-15T14:44:10Z	16	NA
533	1329325262	4	4.5	4.5	4.5	5	2012-02-15T17:01:02Z	16	NA
533	1329387410	4	5	5.5	5.5	3.5	2012-02-16T10:16:50Z	17	NA
533	1329477908	4	5	5.5	5	6	2012-02-17T11:25:08Z	18	NA
533	1329486812	5	5	5.5	4.5	4	2012-02-17T13:53:32Z	18	NA
533	1329495551	3.5	5	4	5.5	4.5	2012-02-17T16:19:11Z	18	NA
533	1329735008	4	5	5.5	5.5	4	2012-02-20T10:50:08Z	21	NA
533	1329745842	4	5	4.5	5.5	4.5	2012-02-20T13:50:42Z	21	NA
533	1329755911	4	5	4.5	5.5	3.5	2012-02-20T16:38:31Z	21	NA
533	1329823756	5	4.5	5.5	6	4.5	2012-02-21T11:29:16Z	22	NA
533	1329836980	4	5	5	5	4	2012-02-21T15:09:40Z	22	NA
533	1329844858	4	5.5	5	5.5	5	2012-02-21T17:20:58Z	22	NA
533	1329907503	3.5	5.5	6	6	4.5	2012-02-22T10:45:03Z	23	NA
533	1329922860	3.5	4	5.5	5.5	5	2012-02-22T15:01:00Z	23	NA
533	1329928181	5	5	5	5	4	2012-02-22T16:29:41Z	23	NA
533	1329993873	3.5	5	5	5.5	4	2012-02-23T10:44:33Z	24	NA
533	1330009690	4	4.5	5	5	5.5	2012-02-23T15:08:10Z	24	NA
533	1330015537	4	4.5	5	5	5	2012-02-23T16:45:37Z	24	NA
533	1330083000	4	4.5	4.5	5.5	4	2012-02-24T11:30:00Z	25	NA
533	1330093992	3.5	4.5	5	5	5	2012-02-24T14:33:12Z	25	NA
533	1330100633	4.5	5	5	5	4	2012-02-24T16:23:53Z	25	NA
533	1330339090	3.5	5	5	6	3.5	2012-02-27T10:38:10Z	28	NA
533	1330350088	5.5	5.5	5.5	5.5	4	2012-02-27T13:41:28Z	28	NA
533	1330428314	3.5	5	5	5.5	4.5	2012-02-28T11:25:14Z	29	NA
533	1330441937	3.5	5.5	5	5.5	4	2012-02-28T15:12:17Z	29	NA
533	1330449156	4	5	5	5.5	4.5	2012-02-28T17:12:36Z	29	NA
533	1330513099	3.5	5	4	5.5	4	2012-02-29T10:58:19Z	30	NA
533	1330525619	4	5	5	4.5	3.5	2012-02-29T14:26:59Z	30	NA
533	1330535688	3.5	4	4.5	4.5	4.5	2012-02-29T17:14:48Z	30	NA
533	1330608903	3.5	5	5	4.5	3.5	2012-03-01T13:35:03Z	31	NA
533	1330621816	4	5	5.5	5.5	5	2012-03-01T17:10:16Z	31	NA
533	1330708281	4	3	5.5	6	4.5	2012-03-02T17:11:21Z	32	NA
533	1330945708	4	5.5	5.5	6	5	2012-03-05T11:08:28Z	35	NA
